,SASA,Volume,HOMO,LUMO,IP,EA,Dipole,C_1_BV,C_1_SASA,C_1_P_int,C_1_charge,C_1_electrophilicity,C_1_nucleophilicity,C_1_radicalFukui,C_2_BV,C_2_SASA,C_2_P_int,C_2_charge,C_2_electrophilicity,C_2_nucleophilicity,C_2_radicalFukui,O_1_BV,O_1_SASA,O_1_P_int,O_1_charge,O_1_electrophilicity,O_1_nucleophilicity,O_1_radicalFukui,N_1_BV,N_1_SASA,N_1_P_int,N_1_charge,N_1_electrophilicity,N_1_nucleophilicity,N_1_radicalFukui
Cc1ccc(CNC(=O)c2c(C)cccc2C)cc1,484.0110085181048,343.9926558610713,-0.3809035744204163,-0.2282817163723602,7.6227223208493875,-0.6646040830594481,1.6120682250386391,0.7264609591541947,1.6000999250156367,32.04322904831496,-0.0417306273860757,0.0361277426657859,0.0141463243881446,0.0251370335269653,0.6742672992552855,0.0179880182392002,34.417489676413226,0.2827447979154911,0.0114666081311439,0.0077498293587286,0.0096082187449362,0.4708065410448298,27.220596930604668,19.232880474994307,-0.4360970889455954,0.0525433881583523,0.0964718228791921,0.0745076055187722,0.6241014600244683,0.6400557947298863,28.3095586042356,-0.1794918900603352,0.0189290443362328,0.0262626165994748,0.0225958304678538
CC(=O)c1ccc(NC(=O)c2ccco2)cc1,436.0697335638378,270.1214881674317,-0.3889768132568802,-0.2865833137735769,8.010602086654922,0.8352884457690358,2.116049578097736,0.5772269790970599,7.031616739350568,25.06256810269165,0.0744878029996383,0.0188789573294616,0.0257645532341678,0.0223217552818147,0.5523941688942688,9.004484729554704,25.066426002169177,0.2688976564931822,0.0377476516915128,0.0074619744586149,0.0226048130750639,0.4114635364387544,31.072401671017207,17.530217081918067,-0.4098836481740281,0.0934674905428851,0.0690637389198215,0.0812656147313533,0.5649213527381134,5.802822644467654,26.207520445723848,-0.1507217763724898,0.0207691809279795,0.0439945979626957,0.0323818894453376
CCCN(C)C(=O)c1cc(Cl)cc(Cl)n1,432.6506933694703,281.8882015199315,-0.392949155727687,-0.2894038571822066,8.186681399042032,0.4535458637640391,1.1296793063536918,0.651476756969891,3.9553325298429622,29.757857830828154,0.0770792352104489,0.0667757652321106,0.0063314424253259,0.0365536038287183,0.6200669815964704,4.935349236428329,27.89480888037073,0.2583050780612043,0.0306670017038772,0.0113189836878484,0.0209929926958628,0.4238426560868165,29.570470514057632,18.144913329963384,-0.441256365301768,0.0959243380256545,0.1182817938615309,0.1071030659435927,0.6394257533903301,0.9035280279488968,29.03673560716596,-0.0671850650198188,0.05399364412257,0.0760068655709185,0.0650002548467443
CC(=O)c1ccc(NC(=O)C2(c3ccccc3)CC2)cc1,513.8912116267984,352.7942211125798,-0.3873724744239254,-0.2773010539519321,7.756789558582373,0.4873529508890631,1.6791656660453669,0.7050957416648362,0.0,36.60694027135602,-0.021173886470586,-0.0008273425429998,0.012424922658904,0.005798790057952,0.6376642285015768,5.402126238553675,29.32993503642077,0.2758924480263797,0.0244716199416104,0.0102920813101109,0.0173818506258607,0.4552588054574392,23.779090581774454,19.081291850975024,-0.4175271541897742,0.0618957220023083,0.0900148845012157,0.075955303251762,0.6358076314618972,2.561972835711825,30.511907931453784,-0.1640243397335768,0.013020431911153,0.0289244474486335,0.0209724396798933
COc1ccc(N(C)C(=O)Cc2cc(F)cc(F)c2)cc1,455.7405468479152,336.7634222875396,-0.38753679720858,-0.2566610045859061,7.928212421829906,-0.2445338690251268,1.5584678680269286,0.5663995503174766,5.876137155227627,25.227268286863158,-0.0951120035329606,-0.0150534253968406,0.0002981443835094,-0.0073776405066655,0.6217550315918072,2.9620690411383377,28.00879560282326,0.2706145536529862,0.0057200634038669,0.0090175723508324,0.0073688178773497,0.3852462266135213,36.24261327677712,16.92105773175726,-0.435126702967171,0.0565730493073105,0.1227254723105878,0.0896492608089492,0.6973280828607029,0.0040000227845772,35.48739120511098,-0.0929132602978164,0.0103748221440547,0.0494530178556338,0.0299139199998442
COC(=O)c1ccc(NC(=O)c2oc3ccccc3c2C)cc1OC,580.5130885470243,392.5121997240741,-0.3824182812506589,-0.284363947894385,7.49321049201689,0.9570141380811212,2.00371982490331,0.6276816478703794,6.976086105453807,28.1222064601776,0.0688021624716739,0.0224143942700969,0.0235331546633733,0.0229737744667351,0.5789274032105753,8.938535444116496,27.17135819459011,0.2685067348786215,0.0335210454761524,0.0041854487754784,0.0188532471258154,0.4675900138338363,20.59866352035804,20.358253906722325,-0.4260624207267993,0.0825492153076702,0.0364097991969645,0.0594795072523173,0.5680633563905231,5.707715045719297,27.45297968140972,-0.1484383626281753,0.01826172728258,0.0270513670444055,0.0226565471634928
Cc1ccc2cccc(NC(=O)c3ccc(F)cn3)c2n1,485.06169554947314,316.7863403765512,-0.3733306853258681,-0.2898059251184267,7.502689694233464,0.9737034755223865,1.221711877119554,0.6061777860603802,6.760157950008145,27.727882333146443,0.0584050648869875,0.0307670408972488,0.0049306719261248,0.0178488564116868,0.5664834140887067,9.060211690395526,26.48084388583476,0.2666291051730815,0.0265156624065749,0.0113722792490174,0.0189439708277962,0.4164531308237048,29.51887110623566,18.17334213307918,-0.4214912329361002,0.0821185540306039,0.0807864699793359,0.0814525120049699,0.6086528606038017,5.129945597957144,28.927288346011004,-0.135646392854626,0.0172791013054901,0.0345758958588962,0.0259274985821931
Cn1cc(C(=O)Nc2ccc(Cl)cc2)c(C(F)F)n1,464.6446869296581,295.84299015984544,-0.380832123738326,-0.2651304049781385,7.824299951902582,0.0720394609001474,2.7732670153069527,0.653528867759965,4.915119278814968,27.6436735845156,-0.0542767183667885,0.0245553892407857,0.0103583271769285,0.0174568582088571,0.6023414088004662,7.502676905978628,26.80941019824942,0.2781353842289175,0.0489772203169934,0.0104921381736422,0.0297346792453178,0.4251843232780669,29.31637982859699,18.30886689424452,-0.4249717003420299,0.108489071038698,0.0843915068912802,0.0964402889649891,0.6490708213574098,2.9699672703888518,28.47304604474337,-0.1542934604328836,0.0250762945027767,0.0549718248924497,0.0400240596976132
COc1ccc(NC(=O)c2cc(C)nc(Cl)c2)cc1C,521.436563527663,342.6932537783719,-0.3699577060597189,-0.2828322503568559,7.315700696206513,0.5272311226652721,1.428792331390799,0.6165756067467576,4.579378771785948,28.85467719662508,-0.0048503847178962,0.0555378838042772,0.0077370889159081,0.0316374863600927,0.5699306694377512,7.461695373836623,27.15480697342688,0.2718465560524346,0.0368170027325458,0.0111328296511797,0.0239749161918628,0.4228675729879345,29.46082960836202,18.534874773579396,-0.4140414618453729,0.1000497721194945,0.0670070113222317,0.0835283917208631,0.5731085263282335,4.256623348696347,27.87241578186807,-0.1544126157282171,0.0247031229168447,0.0329022582243932,0.028802690570619
COc1ccc(NC(=O)C(C)(C)c2ccccc2)cc1C,529.0180670164186,374.65514619478654,-0.3606900199598106,-0.2293659089297353,7.201795127296887,-0.643859765251823,1.050854860391573,0.721324077001996,0.0,0.0,-0.009537846666588,0.0027186736525422,0.0092594872874782,0.0059890804700102,0.6755369397243609,0.6060140556727732,31.62908326829075,0.2747256153667076,0.0311914362950708,0.0104683042204567,0.0208298702577637,0.4734217709554299,24.363070316018245,19.945160640426145,-0.4174701837353899,0.076570327292985,0.0795421138361316,0.0780562205645583,0.6581974480787868,0.6259936958660137,32.40653708616513,-0.1609607872421972,0.0138625007019295,0.0385911813628333,0.0262268410323814
Cc1ccc2cccc(NC(=O)c3ccc(C(F)(F)F)cn3)c2n1,528.8861358681136,347.5871934844796,-0.3780225170707472,-0.3064144079346947,7.677659251549405,1.3367984025456583,1.6176817910643786,0.6062919360425969,6.808161994891416,28.040681844323856,0.0712875509898608,0.0399318417366082,0.0034682166936396,0.0217000292151239,0.5665567938104084,9.050210478135645,26.61566335581101,0.2662004583042237,0.0243300384798081,0.0122201505122516,0.0182750944960298,0.4164251773425881,29.48687242252578,18.21065475152328,-0.4169811237038998,0.08067315049414,0.0820042620957429,0.0813387062949415,0.6089650102444143,5.127946728737599,29.03391910919039,-0.1328806784295176,0.0186166792774248,0.0333822764442301,0.0259994778608274
CC(C)(C(=O)NCc1ccc2c(c1)OCO2)c1ccccc1,474.4774863737977,370.7893901364592,-0.3777584212517819,-0.2354443726695821,7.491959801123283,-0.5999861195265297,1.379565442111934,0.7291250453781017,0.0,1.4354000589597342,-0.0090470199846444,0.0023132169417403,0.0184855603268509,0.0103993886342956,0.6977100242013278,1.003298437091495,29.789299607138958,0.2762147495119701,0.0182169157134535,0.0115139826463487,0.0148654491799011,0.4766361304512706,26.15635681681348,20.01882912301158,-0.4225217642731162,0.0607581606542953,0.0983006650424615,0.0795294128483784,0.6545642463134584,3.870202105918597,25.9027189299179,-0.1887010507131947,0.018570042515423,0.0277038856456254,0.0231369640805242
COc1ccc2cc(C(C)C(=O)Nc3ccc(OC)c(C)c3)ccc2c1,624.8336077320255,443.5892525688217,-0.3598297132333722,-0.2608397710192687,6.799787909321683,0.0545069481177313,1.573678889018491,0.6188098803880377,0.0830305927956202,32.344736765591904,-0.0480163973723598,-0.003909477676143,-0.0004168045689585,-0.0021631411225507,0.6186702931388279,3.691446421230845,28.87139779547691,0.2751268628565955,0.0140536884030788,0.0055248430993957,0.0097892657512372,0.4512288692852148,25.846476746729884,19.28108231626828,-0.4148823383059673,0.0501380476596814,0.0544017585424521,0.0522699031010668,0.621371641253566,3.109698476968723,30.727037173559477,-0.1629294099824799,0.0066586199129486,0.0271880485700634,0.016923334241506
Cc1ccc(CC(=O)NCc2ccc3c(c2)OCO3)cc1,526.2487353769917,349.4838330186862,-0.3767818103495571,-0.2336884884810659,7.300567739740605,-0.5156592489344762,1.6642802878576095,0.5017225359970144,6.249156427216644,23.87996621408204,-0.09764291980933,-0.0097789710699688,0.0012974060791635,-0.0042407824954026,0.5791327922458089,1.306656937148493,28.59744305131852,0.2787902193001979,0.0099108483487248,0.0084545743586714,0.0091827113536981,0.3969572229876274,34.40159739149407,17.023812252533794,-0.4330216226740398,0.0456322918278873,0.0813831187164941,0.0635077052721907,0.6167573242540845,1.0265331443302017,30.954483320939996,-0.1774659209041559,0.0081906731059937,0.0182797895654896,0.0132352313357416
Cc1ccc(NC(=O)c2ccc3nccnc3c2)c(C)c1,504.25672047506646,337.80008043205,-0.3637315390244807,-0.307200078667664,7.100175432543027,1.0795367043274455,1.563369443226208,0.6217951948319747,4.689454606210897,29.068962905081204,-0.0174135956788608,0.0403108922887473,0.0126678508553478,0.0264893715720475,0.5796341067645431,7.336160790742889,27.597336455143346,0.2719377128283723,0.0174691008700125,0.0060575388069042,0.0117633198384584,0.4253861240533012,29.028666424186557,18.523129429474224,-0.417808717591069,0.0647637394897879,0.0575547344266753,0.0611592369582316,0.6178339007234392,3.1513831336523337,29.403468915309634,-0.1613578447733103,0.0165032181782213,0.0323273328974274,0.0244152755378244
Cc1cc(C(=O)NCc2ccc(F)cc2F)cc(Cl)n1,497.2944985851822,317.2688678036488,-0.3926228659894704,-0.2864098900998765,8.138495071722245,0.7163959854120733,0.8115994737118395,0.6206832163548008,4.693785452117827,28.867213574528577,-0.0040375307377239,0.0484064859708221,0.0223212469558937,0.0353638664633579,0.5885012947959182,4.677957026893048,28.34038792529443,0.2721857878793752,0.0226437634097286,0.0112065662637977,0.0169251648367632,0.4398757894140374,26.624412002347995,18.487274050925265,-0.4242738024077297,0.0765734134509665,0.0949314184795713,0.0857524159652689,0.5772731274708182,3.300037883390276,27.209939463236477,-0.1731367393265669,0.0293059208061617,0.0312064941604756,0.0302562074833186
COc1ccc(S(=O)(=O)NC(=O)c2ccnc(C(F)(F)F)c2)cc1,545.5177406053895,352.31317930319625,-0.4118474635541431,-0.3162884094846435,8.323377513323939,1.2305371345725231,1.918145416458636,0.619530424043553,4.703914719324728,29.119539444741203,0.0085322562381652,0.0534733500907464,0.0158514063002426,0.0346623781954945,0.6197351118477027,3.860942152528728,30.191394519896274,0.2889300581381254,0.0288348532518283,0.0095947167337193,0.0192147849927738,0.5271969180870859,18.46659013265405,23.06870311722717,-0.4024261392150471,0.0812686010031896,0.0566536714011037,0.0689611362021467,0.621079706405906,1.885084990499844,32.25022312303113,-0.340679120150145,0.0125223102812947,0.0126158183984195,0.0125690643398571
