can,E,ES_root_dipole,ES_root_electronic_spatial_extent,ES_root_molar_volume,E_scf,E_thermal_correction,E_zpe,G,G_thermal_correction,H,H_thermal_correction,charge,dipole,electronegativity,electronic_spatial_extent,hardness,homo_energy,lumo_energy,molar_mass,molar_volume,number_of_atoms,zero_point_correction,N1_APT_charge,N1_ES_root_Mulliken_charge,N1_ES_root_NPA_Rydberg,N1_ES_root_NPA_charge,N1_ES_root_NPA_core,N1_ES_root_NPA_total,N1_ES_root_NPA_valence,N1_Mulliken_charge,N1_NMR_anisotropy,N1_NMR_shift,N1_NPA_Rydberg,N1_NPA_charge,N1_NPA_core,N1_NPA_total,N1_NPA_valence,N1_VBur
CNc1ccc(F)cc1,-425.354134,6.0853,1365.1618,1095.407,-425.497920697,0.145873,-425.362241,-425.394905,0.105102,-425.35319,0.146817,0.0,3.0895,0.10538,1367.8405,0.09626000000000001,-0.20164,-0.00912,125.1453,985.866,17.0,0.137766,-0.758216,-0.138807,0.00972,-0.44417,1.99916,7.44417,5.43529,-0.244977,78.7298,205.3597,0.01083,-0.64508,1.99917,7.64508,5.63508,0.507473253618628
CNc1ccc(OC)cc1,-440.56777938427877,3.391307573921613,1878.3468153822387,1316.0220533321751,-440.7528377434155,0.18806921280929356,-440.5775578290585,-440.61235594100776,0.14349265608026285,-440.56683538427876,0.18901321280929356,0.0,1.7237144689227883,0.09216652798732691,1884.3737247666274,0.093318464468904,-0.1854849924562309,0.0011519364815770923,137.18099999999998,1332.974795792819,20.999999999999996,0.17829020322872563,-0.7858667089620276,-0.15610347352142687,0.00999564800844872,-0.4805820171997183,1.9991699999999997,7.480582017199717,5.471422017199718,-0.24655021884430883,77.2532871304013,207.33933956700304,0.01107564800844872,-0.6500545436029102,1.9991799999999997,7.650054543602909,5.639793247586011,0.5076815613946444
COC(=O)c1cc(F)ccc1N,-613.6372909826631,2.740485475044506,2229.2062014256935,1217.4468434087194,-613.7938046365281,0.16346904375628188,-613.6483490166958,-613.6854545839948,0.11530544242462788,-613.6363469826632,0.1644130437562819,0.0,1.1980700969014952,0.12999886513823236,2230.6608159916277,0.08132426174633037,-0.21132312688456273,-0.04867460339190201,169.1551,1235.248634586505,20.000000000000004,0.1524110097236182,-0.7244797052261062,0.006591325891352819,0.009711555778911135,-0.6373308238696769,1.9992300486180914,7.637330823869678,5.628399170854585,-0.0941536283421651,56.39503544845858,190.43825964833934,0.00969194472363892,-0.8026004528895593,1.9992300972361823,7.8026004528895605,5.793678410929739,0.4288784427169646
COC(=O)c1cc(S(N)(=O)=O)ccc1OC,-1177.155644453428,6.644670337512383,4654.829767018255,1634.3478620904298,-1177.3626862519252,0.22021069501502447,-1177.1716521705084,-1177.2165907831225,0.1592648020345003,-1177.154700002389,0.2211552391622935,0.0,5.885644645831549,0.15962322148889488,4647.302902033167,0.09931860620050324,-0.2589418276893981,-0.06030461528839166,245.2496,1783.8938289632038,27.0,0.20420307104282795,-0.82212292600964,-0.06697940252315354,0.013973518916661976,-1.0447624699760074,1.9994716507979897,8.044762469976007,6.031317300261356,-0.08615311037005174,105.59363284125091,167.17298094906135,0.014120818780478404,-1.0767903710370657,1.9994723705140374,8.076790371037065,6.063193592444956,0.41393660342941757
COC(=O)c1ccc(N)cc1,-514.53436,4.8594,2160.3913,1365.974,-514.701170834,0.170867,-514.544654,-514.580532,0.124695,-514.533416,0.171811,0.0,3.2674,0.123835,2167.013,0.096305,-0.22014,-0.02753,151.1646,1332.247,20.0,0.160572,-0.807815,-0.051861,0.01059,-0.67299,1.99926,7.67299,5.66313,-0.128478,76.4227,195.5018,0.01082,-0.80125,1.99928,7.80125,5.79116,0.3761799874134676
COC(=O)c1ccc(N)cc1OC,-628.844365956845,6.092967227529773,2725.6800602921994,1145.19450698994,-629.041145181933,0.20567990535757197,-628.8572548599421,-628.8968567182797,0.1531888780240639,-628.8434210345407,0.20662448406739942,0.0,3.6731063939438418,0.11838086030848231,2691.5251635984732,0.0965659686654925,-0.2149468289739748,-0.02181489164298983,181.1908,1634.891695191288,24.0,0.1927906586658395,-0.8094051262658029,-0.10406619599923736,0.012083462774255017,-0.761774090254781,1.99928,7.7617740902547805,5.750407191535006,-0.12725754111117807,77.25164849034545,195.6118771091555,0.010736892175182583,-0.8012340797771123,1.9992792230437955,7.801234079777112,5.79122718760193,0.3762528603844897
COCCN1CCNCC1,-460.11728343957236,1.5722309819571108,1935.6074535477494,1447.3581982602968,-460.3586116492449,0.2477445518647122,-460.12782278995377,-460.16477734529235,0.20025064632932763,-460.1163394395708,0.2486885518647122,0.0,1.6604198394559417,0.062108366356128555,1877.3519888088545,0.1250949447033862,-0.18720331105951474,0.06298657834725765,144.21619999999996,1345.3740626289787,26.0,0.23720520166934916,-0.5171431627061116,-0.13341661227681556,0.014984947289418878,-0.5312921496756992,1.9993094723387566,7.531292149675698,5.516997145592849,-0.30236932976362296,66.30194120552822,228.09283771037468,0.015468711086471503,-0.7150682488225656,1.9994000016684652,7.715068248822566,5.70019012969389,0.518232254287114
COc1ccc(CN)cc1,-440.5666923246845,1.6706404026641353,1871.472803242429,1268.3386189501928,-440.7525358912306,0.1888836266934782,-440.57632567416624,-440.6115867349216,0.14398921645634888,-440.5657483246845,0.1898276266934782,0.0,1.5330539151292242,0.11370844033843724,1865.4891422541573,0.10729879284819716,-0.2210072331866344,-0.006409647490240105,137.18099999999998,1224.7750506898794,20.999999999999996,0.1792502772117465,-0.5145160816831339,-0.20557391007313985,0.01294843238228785,-0.7590517839889153,1.9994599999999998,7.759051783988915,5.746649978123301,-0.26078550708386133,32.246678568983334,225.09193516300843,0.014132289433547367,-0.8700917846492144,1.9995032530333496,7.8700917846492136,5.8564562421823165,0.3778395291673428
COc1ccc(N)cc1,-401.351682,2.4731,1368.657,1237.846,-401.507604821,0.158349,-401.359994,-401.39268,0.117351,-401.350737,0.159293,0.0,1.756,0.096055,1370.3038,0.095575,-0.19163,-0.00048,123.1542,1095.018,18.0,0.150037,-0.693935,-0.058496,0.01074,-0.67022,1.99928,7.67022,5.66019,-0.148492,79.793,204.7669,0.01207,-0.82242,1.99932,7.82242,5.81102,0.375
COc1ccc(N)cc1C,-440.58221,2.328,1629.7305,1441.671,-440.766986487,0.187673,-440.592179,-440.626814,0.143069,-440.581266,0.188617,0.0,1.4711,0.09175,1636.0833,0.09670999999999999,-0.18846,0.00496,137.181,1149.904,21.0,0.177704,-0.695851,-0.061582,0.01081,-0.67664,1.99928,7.67664,5.66655,-0.148398,80.2267,204.9825,0.01206,-0.8225,1.99933,7.8225,5.81112,0.37429200755191944
