,SASA,Volume,HOMO,LUMO,IP,EA,Dipole,N_1_BV,N_1_SASA,N_1_P_int,N_1_charge,N_1_electrophilicity,N_1_nucleophilicity,N_1_radicalFukui
COc1ccc(N)cc1C,322.731146961522,191.3839525346682,-0.3406412876330037,-0.2064511166894011,7.153816732159505,-2.258968461483702,0.6398463093393979,0.2920762672381662,21.40977295365741,17.44717586946588,-0.2857574864885072,0.029689560167091,0.0964063737041294,0.0630479669356102
COc1ccc(S(N)(=O)=O)cc1,354.4117380408796,208.77098898543505,-0.4031636297972273,-0.2499370930538733,8.62221410297032,-0.8465667337091479,2.162584518142622,0.3505869040769898,16.51398597065376,21.544081694681587,-0.4609899117896467,-0.0051995517920823,0.048202846509338,0.0215016473586278
COC(=O)c1cc(S(N)(=O)=O)ccc1OC,428.7645208650852,265.8133810154333,-0.4104297531682265,-0.2820842471274506,8.590511747773759,0.1959884470615048,2.1257246721290524,0.3512209397282128,16.392264477287572,21.972092693702745,-0.4597878233612804,-0.0027211189813371,0.0387384807227286,0.0180086808706957
CCNC(C)C,280.6704209563621,159.0425880831918,-0.3457074918125575,0.0372685680192137,8.150070731238012,-8.811784561096148,0.3772675687732429,0.5100766229950878,4.810308959910003,21.38158410226702,-0.2663568817755619,0.1623088697751999,0.1953559858838566,0.1788324278295282
Nc1ccc2c(c1)OCCO2,316.1296964691649,184.59286301522155,-0.3485401331429151,-0.2120432516663399,7.398342122475377,-2.1279306651576886,0.5507209934224888,0.2926761088333954,21.249774650407275,17.58948428483105,-0.2789174594628485,0.0322218042467769,0.0980310480748654,0.0651264261608211
Cn1c(N)nc2ccccc21,317.481538567365,187.0430628726848,-0.3595037690098961,-0.2186271392858957,7.666854477537553,-1.662663660961175,1.8182336044428309,0.5994688781215057,1.369985471579204,27.470772977803787,-0.0766458061021556,0.0500918700100019,0.0547206281705705,0.0524062490902862
Cc1ccc([N+](=O)[O-])cc1N,317.12783939883707,180.7512139967331,-0.3850651614750885,-0.3079438426499905,8.523097794036563,0.5760307004819056,3.028924212149726,0.4663011400609606,3.7549639933743735,21.523669666495152,0.5408265530192369,0.1162103015324928,0.0222887944511707,0.0692495479918318
CC1CCCNC1,274.3744491085257,165.1581116138177,-0.3485699866911167,0.0517576064921145,7.958516610073807,-9.061929867197376,0.4975925467306319,0.431401021663288,14.204265908355575,17.230552446190035,-0.2596583954670234,0.1326302318412155,0.1897219637955066,0.1611760978183611
NCc1ccc(F)cc1,292.8351996135349,162.3247938897085,-0.3764295322812666,-0.2418656807189411,8.619644818109629,-1.4005137918493376,0.4249731046057026,0.2788302506527644,23.919746334144158,14.351160763547153,-0.3341816712841211,0.0267084878266593,0.1662358355158871,0.0964721616712732
C1CCNC1,228.61015993886093,119.21050782443716,-0.3598330562590965,0.0412532083001596,8.726147612330802,-9.079436873538173,0.5416574838389444,0.3974387346254193,16.78982194731004,15.903140469903144,-0.2610937894297773,0.1284854625586108,0.2135014893176929,0.1709934759381518
Nc1ccncc1[N+](=O)[O-],279.9276736643916,148.73261689721363,-0.3905218173174357,-0.3213161101546737,9.020237454952568,0.9105573491563016,2.358552511360569,0.3656194607775855,19.189797592081085,19.49663463039954,-0.2337005960677256,0.0386857971029169,0.0671620284382667,0.0529239127705918
Cc1ccc(N)c(C)c1,306.0714906476071,178.63353246872364,-0.3456764576691911,-0.2028582564651561,7.3860508442661725,-2.3309079531339187,0.6828190054179026,0.3357307584793142,18.8797997835148,18.23044671712225,-0.2866211964481123,0.0319830228541728,0.1053059398392442,0.0686444813467085
Nc1nccc(Cl)n1,269.1802732885278,139.28579081929684,-0.3777231583617309,-0.2670641277086055,8.547398432504535,-0.7464486485922386,0.8880361916020323,0.2780120201267238,20.649781013219314,17.616631072773938,-0.2447329291203721,0.0444798668240534,0.0649300760566724,0.0547049714403629
Cc1cccc(N)c1C,299.34151038019274,176.6899660660954,-0.3488660061328496,-0.2023605836268459,7.593940470078303,-2.3132821812217377,0.7672816500277263,0.3390036805814387,18.48980391934261,17.885596140383164,-0.2869375991266357,0.0309177700724349,0.1106318278619316,0.0707747989671832
