can,E,ES_root_dipole,ES_root_electronic_spatial_extent,ES_root_molar_volume,E_thermal_correction,dipole,electronegativity,hardness,homo_energy,lumo_energy,molar_mass,molar_volume,C1_APT_charge,C1_ES_root_Mulliken_charge,C1_ES_root_NPA_Rydberg,C1_ES_root_NPA_charge,C1_ES_root_NPA_core,C1_Mulliken_charge,C1_NMR_anisotropy,C1_NMR_shift,C1_NPA_Rydberg,C1_NPA_charge,C1_NPA_core,C1_VBur,I1_APT_charge,I1_ES_root_Mulliken_charge,I1_ES_root_NPA_Rydberg,I1_Mulliken_charge,I1_NMR_anisotropy,I1_NMR_shift,I1_NPA_Rydberg,rate
IC1=C(C=CC=C1)C(=O)CC1=CC=CC=C1,-626.0203989766,4.4530569643,3839.6073765909,1871.9001226847,0.2239325844,4.5710690817,0.150233852,0.0996263,-0.249860152,-0.0506075519,322.1448,1831.652791193,0.4841029868,-0.4190442511,0.0269451569,-0.2243436707,1.99854,-0.4154750629,105.0539812962,68.2104359335,0.0268901718,-0.2057076779,1.9985751668,0.689340231,-0.2290390664,0.149604066,0.005628999,0.1705191753,26.1982143665,45.7292304245,0.0053163396,2.616754747689858
FC(F)C1=C(Br)C=CC(I)=C1,-3050.9727861187,5.3804461261,3324.5599002379,1528.3336937681,0.1041620916,2.5568794675,0.146885219,0.1070360207,-0.2539212398,-0.0398491983,332.9139,1524.5775702493,0.466326792,-0.325842574,0.0312035981,-0.2760304702,1.99874,-0.4101317374,106.0675638663,64.9459544366,0.027878436,-0.232253769,1.99864,0.6258801773,-0.2437363777,-0.0143373773,0.0258841005,0.1793777638,29.7904842586,44.6964940127,0.0054422123,2.61830590352064
OC(=O)C1=CC(I)=CC(=C1)N(=O)=O,-635.520033341,16.0366889118,3275.2559850804,1522.7078108605,0.119743216,4.6207470554,0.1860900118,0.0828640677,-0.2689540796,-0.1032259441,293.0174,1330.879928414,0.3551148028,-0.4646155571,0.0272525775,-0.2241389502,1.9986199995,-0.4504833805,114.3047901843,62.5344570082,0.0287347105,-0.2390408204,1.99867,0.6256012561,-0.193718816,0.6672897733,0.0025771543,0.2157805474,30.4275523822,43.6556831908,0.0055432143,2.6250129308397336
FC1=CC(I)=CC(F)=C1,-441.098854,3.5349,1729.5817,1258.654,0.081668,0.1181,0.150565,0.108975,-0.25954,-0.04159,239.991,995.215,0.591558,-0.333657,0.03001,-0.26859,1.99879,-0.406297,118.14,64.3347,0.02723,-0.21519,1.9987,0.626809314,-0.205396,0.036193,0.02619,0.182613,30.3539,44.1796,0.00546,2.626504030750194
COC(=O)C1=CC=C(I)C(O)=C1,-545.5816180141,5.1674187465,3296.9798859974,1352.8656560442,0.1493960024,2.8235098329,0.1500439911,0.0948165959,-0.2448605869,-0.0552273952,278.046,1627.1423272932,0.3628431946,-0.4583154529,0.0283760161,-0.3284427891,1.9986519931,-0.4715152243,80.770013299,73.1285437272,0.0264964968,-0.2817288531,1.99862,0.648757828,-0.2282385396,0.1717237473,0.0090131496,0.1860625299,24.9494306341,46.9128310744,0.0055876308,2.6308118441122827
COC1=C(Cl)C=CC(I)=C1,-816.6419716203,7.9383847411,2525.1688489865,1319.6075601082,0.123331506,2.0335328365,0.1384340936,0.1016225403,-0.2400566338,-0.0368115533,268.4813,1433.2342667345,0.5852197926,-0.3248020883,0.0321726635,-0.2608319085,1.9987881439,-0.4173928078,100.5239268919,66.5377319542,0.0278603028,-0.2163646152,1.9986593813,0.6284134205,-0.2581649891,-0.1990155848,0.0209718076,0.1577904762,29.7700399795,44.9482347098,0.0052955682,2.631607737451357
ClC1=CC(I)=C(Cl)C=C1,-1161.722104,5.8027,2368.2924,1476.5225,0.079567,1.4768,0.15435,0.10365,-0.258,-0.0507,272.9002,1150.314,0.330457,-0.306793,0.03102,-0.27671,1.99859,-0.39001,88.1554,63.5472,0.02919,-0.25192,1.9985,0.6570169918,-0.15286,0.001248,0.0204,0.221232,28.8927,44.2609,0.00551,2.6337495857220428
CCOC(=O)C1=CC=CC(I)=C1,-509.6755271754,7.2399163557,3428.677696669,1672.5269749113,0.1738899072,2.2145756704,0.1562372182,0.1003359602,-0.2565731784,-0.055901258,276.0734,1525.552631637,0.4419971093,-0.4198423477,0.0272042801,-0.2047432346,1.99863,-0.4186967851,98.2589600587,64.7153640489,0.0276728787,-0.2326310609,1.99865,0.6261832202,-0.2560189438,0.486802757,0.0029468953,0.1568740989,29.3760081692,44.913185733,0.00531,2.634134478100682
CC(C)(C)OC(=O)C1=CC(I)=CC=C1,-588.1931313991,6.9854079145,4444.0963171224,1694.4859394419,0.2323516081,2.207457792,0.1550797743,0.100784121,-0.2558638953,-0.0542956532,304.127,1723.2086822804,0.4469230431,-0.4188621431,0.0272304515,-0.2028310426,1.99863,-0.4186414903,96.9530996445,64.8582021348,0.0276265322,-0.2321329924,1.99865,0.6284513967,-0.2605257828,0.4776490565,0.0029813064,0.1539562984,29.3687126087,44.9737316029,0.0053,2.634821663904221
OC(=O)C1=CC=C(I)C(F)=C1,-530.3481773872,7.3217457791,2576.5098929038,1480.6247449723,0.1071095344,1.9440661019,0.1618463052,0.099026966,-0.2608732711,-0.0628193392,266.0103,1149.4920137893,0.3837798089,-0.554816163,0.0268039878,-0.3806723096,1.9985549108,-0.5086796529,98.1684680902,70.7986958735,0.0273300373,-0.3020635219,1.9985999973,0.643720447,-0.1826144353,0.4729664336,0.0054439642,0.2159293302,25.8422285528,46.056379406,0.0060500054,2.6365542521455736
IC1=CC(=CC(=C1)C1=CC=CC=C1)C1=CC=CC=C1,-704.3321536577,2.7179049127,7210.7512874689,2339.3756674214,0.268798804,2.3760855471,0.142389096,0.0979964862,-0.2403855822,-0.0443926097,356.2052,2334.1613925438,0.5966979819,-0.4068796601,0.0291016618,-0.2079648391,1.9986794851,-0.4277668994,95.0619897016,64.2978055,0.02809,-0.2121358806,1.99864,0.6269034,-0.2945753745,0.1605354542,0.0097873318,0.1454837074,29.7332566413,45.0391053247,0.00522,2.638406352329412
ClC1=CC(=CC(Cl)=C1I)N(=O)=O,-1366.060282,0.1146,3364.3925,1641.573,0.084663,2.9138,0.190975,0.084105,-0.27508,-0.10687,317.8978,1538.974,0.24824,-0.394241,0.03021,-0.30653,1.99839,-0.374139,88.5011,50.9717,0.03113,-0.2713,1.9984,0.6828193833,-0.088511,0.278063,0.00565,0.301875,25.79,43.316,0.00566,2.639647129564836
CC1=CC=C(I)C(C)=C1N(=O)=O,-525.61366,9.4319,2622.9558,1679.42975,0.160897,3.4306,0.17029,0.08483,-0.25512,-0.08546,277.0612,1543.992125,0.346544,-0.4603,0.02704,-0.18585,1.99861,-0.475151,86.9094,61.9161,0.02673,-0.22214,1.9986,0.661972939,-0.226421,0.317209125,0.00465,0.177069,26.3416,45.5481,0.00517,2.640797395739953
FC1=CC=CC(C#N)=C1I,-434.089334,6.2891,1723.1545,1146.713,0.089619,5.7713,0.16563,0.09959,-0.26522,-0.06604,247.0103,1478.656,0.256339,-0.564855,0.0262,-0.33373,1.99853,-0.527149,103.3202,73.3741,0.02772,-0.28689,1.99858,0.6732221523,-0.095888,0.565587,0.00456,0.268909,25.1942,45.7166,0.00623,2.6422921684979563
COC(=O)C1=C(I)C=CC=C1OC,-584.8101798437,14.2196255117,2875.429981814,1791.7457892171,0.1786567278,4.6235003739,0.1409543459,0.1026614067,-0.2436157526,-0.0382929391,292.0728,1629.4292555544,0.5972893411,-0.3320992806,0.0317079852,-0.2851686789,1.9987590341,-0.4289124885,102.6031909331,68.4772003766,0.0272161366,-0.1968188422,1.9986002415,0.6649348611,-0.234600529,-0.2483335059,0.0177907155,0.1774317514,27.5206024837,45.5377841271,0.0054392756,2.6427583213615784
IC1=CC=CC=C1C(=O)C1=NC=CC=C1,-602.8051915888,2.1404151375,3473.3515130693,1896.1243017309,0.1821632583,3.8404258902,0.1662979256,0.0880705901,-0.2543685156,-0.0782273355,309.1058,1611.913971577,0.4937760952,-0.3924867714,0.0274512362,-0.2039545846,1.99855,-0.3990683577,107.1034676019,65.9660849271,0.02678,-0.1995277852,1.99858,0.6896299175,-0.2416929968,0.1857326587,0.0053904121,0.1700004104,24.9109670706,45.1669610591,0.0052689698,2.644751872505739
ClC1=CC(I)=CC(Cl)=C1,-1161.723725,1.6225,2516.6445,1269.62,0.07965,0.3361,0.15573,0.10653,-0.26226,-0.0492,272.9002,1405.046,0.55378,-0.338332,0.02984,-0.26287,1.99877,-0.404893,112.1705,64.0852,0.02797,-0.21584,1.99867,0.6271239773,-0.218629,0.096238,0.02403,0.193222,30.797,44.03,0.00546,2.6449061834646495
