,SMILES,LUMO,%VBur2.0,NBOrad,rate
,CC(=O)CC(=O)NC1=CC=C(I)C=C1,-0.00868,97.63476923,0.16823,1.247
,CC(=O)CC1=C(I)C=CC=C1,-0.00778,97.69934641,0.22303,0.925
,CC(=O)CC1=CC=C(I)C=C1,-0.00216,97.63214605,0.18409,1.242
,CC(=O)CCC1=CC=C(I)C=C1,-0.00504,97.63290184,0.17877,1.258
,CC(=O)NC(CC1=CC=C(I)C=C1)C(O)=O,-0.00563,97.63064328,0.18238,1.314
,CC(=O)NC1=C(C=C(I)C=C1)C(F)(F)F,-0.02102,97.64104786,0.17478,1.464
,CC(=O)NC1=C(Cl)C=C(I)C=C1,-0.01157,97.64288889,0.18547,1.327
,CC(=O)NC1=C(F)C=C(I)C=C1,-0.00906,97.64034495,0.18964,1.329
,CC(=O)NC1=C(I)C=C(Br)C=C1,-0.02452,97.706773,0.17103,0.864
,CC(=O)NC1=C(OC(F)(F)F)C=C(I)C=C1,-0.0113,97.63511621,0.18428,1.391
,CC(=O)NC1=CC(F)=CC=C1I,-0.0201,97.71835142,0.13744,0.463
,CC(=O)NC1=CC(I)=C(C)C=C1,-0.01091,97.67128302,0.20742,1.168
,CC(=O)NC1=CC=C(I)C=C1,-0.00318,97.63842462,0.16806,1.104
,CC(=O)NC1=CC=CC=C1I,-0.01595,97.69894714,0.15104,0.655
,CC(=O)NC[C@H]1CN(C(=O)O1)C1=CC=C(I)C(F)=C1,-0.00836,97.66800869,0.29174,1.657
,CC(=O)OC1=C(I)C=C(C=O)C=C1I,-0.05314,97.67431438,0.1953,1.883
,CC(=O)OC1=CC(C)=C(I)C(C)=C1,-0.0016,97.76435745,0.17992,-0.091
,CC(=O)OC1=CC=C(I)C=C1,-0.0059,97.63996265,0.18038,1.215
,CC(=O)OC1=CC=CC(I)=C1,-0.00785,97.62614379,0.20128,1.514
,CC(=O)SCC1=CC(I)=CC=C1,-0.01034,97.61833623,0.19663,1.611
,CC(Br)C(=O)N(C)C1=CC=C(I)C=C1,-0.01413,97.63623665,0.18329,1.429
,CC(C)(C)C(=O)NC1=CC=C(Cl)C=C1I,-0.02405,97.72363128,0.17035,0.686
,CC(C)(C)C(=O)NC1=CC=CC=C1I,-0.0157,97.72173835,0.15044,0.423
,CC(C)(C)C1=C(I)C=CC(O)=C1,-0.00571,97.80284215,0.15402,-0.545
,CC(C)(C)C1=C(I)C=CC=C1,-0.0068,97.78677443,0.18535,-0.178
,CC(C)(C)C1=C(N)C=CC(I)=C1,0.00374,97.62537909,0.1572,1.033
,CC(C)(C)C1=CC(Br)=C(I)C(Br)=C1,-0.02765,97.76956116,0.17745,0.347
,CC(C)(C)C1=CC(I)=C(Br)C=C1,-0.0144,97.67096172,0.1967,1.174
,CC(C)(C)C1=CC(I)=C(Cl)C=C1,-0.0111,97.66204179,0.19977,1.216
,CC(C)(C)C1=CC(I)=C(O)C(I)=C1,-0.02683,97.70347187,0.1277,0.681
,CC(C)(C)C1=CC(I)=C(O)C=C1,0.00339,97.65789857,0.1077,0.423
,CC(C)(C)C1=CC(I)=CC(Br)=C1,-0.01295,97.64255942,0.21585,1.540
,CC(C)(C)C1=CC(I)=CC(C=O)=C1O,-0.03524,97.63169296,0.1574,1.727
,CC(C)(C)C1=CC(I)=CC=C1O,-0.00117,97.62464986,0.16455,1.179
,CC(C)(C)C1=CC(O)=C(I)C=C1,0.00325,97.68142789,0.14189,0.400
,CC(C)(C)C1=CC=C(I)C(Br)=C1,-0.01433,97.6926151,0.17954,0.857
,CC(C)(C)C1=CC=C(I)C=C1,-0.00177,97.63326648,0.17845,1.190
,CC(C)(C)C1=CC=C(N)C(I)=C1,-0.00077,97.68183601,0.14455,0.490
,CC(C)(C)NC(=O)C1=CC(OCC(F)(F)F)=C(I)C=C1,-0.02315,97.68334721,0.18291,1.139
,CC(C)(C)NC(=O)C1=CC=C(I)C=C1,-0.0207,97.63886866,0.20143,1.639
,CC(C)(C)NC(=O)C1=CC=CC(I)=C1,-0.02081,97.61008403,0.18935,1.851
,CC(C)(C)NC(=O)C1=CC=CC=C1I,-0.00722,97.70903129,0.18997,0.621
,CC(C)(C)OC(=O)C1=C(Br)C=C(I)C=C1,-0.0337,97.63997147,0.22265,2.008
,CC(C)(C)OC(=O)C1=C(F)C=C(F)C(I)=C1,-0.03098,97.640433,0.12186,1.345
,CC(C)(C)OC(=O)C1=C(F)C=CC=C1I,-0.01659,97.68973077,0.28496,1.562
,CC(C)(C)OC(=O)C1=C(I)C=CC(Br)=C1,-0.03309,97.7258382,0.2469,1.299
,CC(C)(C)OC(=O)C1=C(I)C=CC=C1,-0.02267,97.72362278,0.24796,1.125
,CC(C)(C)OC(=O)C1=C(O)C=CC(I)=C1,-0.03213,97.61154228,0.15016,1.821
,CC(C)(C)OC(=O)C1=CC(Br)=CC(I)=C1,-0.03795,97.62762,0.20348,2.096
,CC(C)(C)OC(=O)C1=CC(I)=CC=C1,-0.02819,97.62725538,0.18289,1.787
,CC(C)(C)OC(=O)C1=CC(I)=CC=C1Cl,-0.03157,97.62729082,0.18565,1.869
,CC(C)(C)OC(=O)C1=CC=C(I)C=C1,-0.028,97.63958917,0.20907,1.820
,CC(C)(C)OC(=O)CC1=CC(I)=CC=C1,-0.00396,97.61605085,0.19344,1.491
,CC(C)(C)OC(=O)CC1=CC(I)=CC=C1N(=O)=O,-0.06095,97.62951399,0.22879,2.675
,CC(C)(C)OC(=O)COC1=C(I)C=C(Cl)C=C1,-0.00549,97.6843552,0.19021,0.831
,CC(C)(C)OC(=O)COC1=C(I)C=CC=C1,0.00424,97.68592696,0.16892,0.499
,CC(C)(C)OC(=O)N(C(=O)OC(C)(C)C)C1=C(I)C=C(Br)C=C1,-0.01762,97.68147985,0.22039,1.275
,CC(C)(C)OC(=O)N(C(=O)OC(C)(C)C)C1=C(I)C=C(C=C1)N(=O)=O,-0.06611,97.68290451,0.19171,2.028
,CC(C)(C)OC(=O)N(C(=O)OC(C)(C)C)C1=CC=CC=C1I,-0.00787,97.670962,0.19858,1.059
,CC(C)(C)OC(=O)N1CC(C1)OC1=CC=C(I)C=C1,-0.00597,97.62690848,0.16285,1.240
,CC(C)(C)OC(=O)N1CCC[C@H]1C1=NC=C(N1)C1=CC=C(I)C=C1,-0.00838,97.62537,0.18116,1.411
,CC(C)(C)OC(=O)N1CCN(CC1)C(=O)C1=CC=C(I)C=C1,-0.02394,97.635099,0.20356,1.752
