can,UMAP1,UMAP2,rate
OC(C1=CC=C(I)C(F)=C1)(C(F)(F)F)C(F)(F)F,1.7360431,11.020423,-0.1882593981012077
FC1=C(Br)C=CC(I)=C1F,1.3285272,11.206267,-0.1745761538104187
COC1=CC(Br)=C(OC)C=C1I,2.2659457,13.41588,-0.1712895841222991
NC1=C(Br)C=CC=C1I,1.2373286,13.92721,-0.1522998399400557
NC1=C(N)C=C(I)C(Cl)=C1,0.80988806,9.09115,-0.1518273103872549
CC(C)(C)C(=O)NC1=CC=CC=C1I,3.0957754,14.548186,-0.1441971854866668
FC(F)(F)C1=C(Br)C(I)=CC=C1,2.9518442,7.69306,-0.1404115143746962
CCOC1=C(O)C(I)=CC(C=O)=C1,4.0592556,11.268694,-0.1389560709090108
CC(=O)NC1=CC=CC=C1I,1.9639661,14.200781,-0.1315732306693288
CCOC(=O)C1=C(I)C=CC(Br)=C1,7.116144,11.147107,-0.127711630533752
NC1=C(I)C=C(Br)C=C1,1.6503942,14.415717,-0.1266851373918602
NC1=C(N)C(I)=CC=C1,-0.14060682,15.9678335,-0.1244277207412563
CCOC(=O)C1=CC(OCC)=C(I)C=C1,4.3198566,12.290141,-0.1244039434281831
CC1=CC(I)=C(N)C(C)=C1,0.60141736,16.091011,-0.1168824858865015
CC(C)(C)OC(=O)C1=C(Br)C=C(I)C=C1,7.434246,13.782739,-0.1059363350912603
OC(=O)C1=CC=CC2=CC=CC(I)=C12,6.2670164,11.502057,-0.1032088823945045
OC1=C(Cl)C(I)=CC=C1,2.2340107,9.135358,-0.1027237599553483
NC1=C(I)C(Br)=CC(F)=C1,1.2633113,10.069938,-0.0977420265549066
OC(=O)C1=C(I)C(I)=CC(I)=C1,3.6319323,7.6283617,-0.0961209219332457
COC1=C(I)C(=CC=C1)C#N,4.179476,10.243233,-0.0960929227820917
COC1=C(I)C=C(C=C1I)C#N,3.2082992,11.648818,-0.0927857029354433
COC1=C(I)C(N)=CC=C1,-0.40629837,13.918249,-0.0895672436740614
COC1=CC=C(C)C=C1I,0.82220083,14.133216,-0.0875828992482062
COC1=C(I)C=C(C=C1)C(O)=O,1.6233922,12.57952,-0.0873655777795325
CC(C)(C)C1=CC=C(N)C(I)=C1,1.3234415,15.66091,-0.0831979434464801
COC1=CC(Br)=CC(I)=C1,8.237267,16.014412,-0.0811146459613469
FC1=CC(F)=C(I)C(F)=C1,-0.80162096,11.032963,-0.0804320934653323
ClC1=CC=C(Br)C=C1I,2.3680491,7.901815,-0.0742137913084675
CC(C)(C)OC(=O)NC1=CC=C(Cl)C(F)=C1I,0.7666901,12.368404,-0.0660296509570338
CC1=CC(O)=CC(C)=C1I,1.2521317,17.237474,-0.0528637428928205
FC1=CC(F)=C(Cl)C=C1I,0.73925567,10.818642,-0.0447458686415729
CCNC(=O)C1=CC=CC=C1I,4.398666,17.313843,-0.0437306270522677
