can,UMAP1,UMAP2,rate
COC1=CC=C(C=C1)C(=O)NC1=CC=C(I)C=C1,10.746249,1.1665044,1.4356091534913054
FC1=C(F)C(I)=CC(Br)=C1F,5.814126,8.305418,1.4357633405144137
CC1=C(C)C=C(C(I)=C1)N(=O)=O,3.5470731,1.8866478,1.4372713473195766
COC1=CC(=CC(I)=C1)C(O)=O,8.7091675,0.47963297,1.4372806071605746
FC1=C(C=O)C=CC(I)=C1,7.582295,-1.6592544,1.4382512331859576
COC(=O)C1=C(F)C=CC(I)=C1,7.705018,1.353486,1.4385759038536157
IC1=CC=CC=C1N=C=O,9.711395,6.9813023,1.440293856351344
IC1=CC=C(NC2=NC=CC=N2)C=C1,9.621013,1.8157481,1.4403194185796462
COC1=C(I)C(=CC(C=O)=C1)N(=O)=O,5.1164107,5.355295,1.447770315092764
NC1=CC(I)=C(O)C=C1,8.899423,9.277593,1.4501735840444634
BrC1=C(CC#N)C=C(I)C=C1,10.504764,4.733237,1.450626711012054
COC(=O)C1=CC(I)=C(C)C=C1C,6.5583854,3.8439703,1.4517914050831386
OC(=O)CCC1=CC(I)=CC=C1,13.05247,3.671107,1.452077225231258
OCC1=CC(I)=CC(Cl)=C1,12.037809,4.826621,1.4523605402103363
OC(=O)CC1=C(I)C=C(Cl)C=C1,10.981172,7.1022325,1.4525599363464117
FC1=C(F)C(I)=CC=C1,6.396931,8.965857,1.452745097842741
NC1=C(I)C=C(C=C1C(F)(F)F)N(=O)=O,6.458294,5.132289,1.456771880439717
COC1=C(C=C(I)C=C1)N(=O)=O,7.4661746,2.128339,1.4569770777604691
FC1=CC(I)=CC=C1NC(=O)NC1CC1,14.746542,2.1125586,1.457704613843152
CC(C)(C)OC(=O)N[C@H](CC1=CC(I)=CC=C1)C(O)=O,12.980127,0.87888813,1.4580706699422823
COC1=C(I)C(F)=C(Cl)C=C1,6.7956524,8.921992,1.4619963581173887
OC1=CC=C(I)C=C1C=O,7.9512806,2.4675114,1.4639880379743972
OC1=CC=C(OC2=CC=C(I)C=C2)C=C1,14.924209,2.4067144,1.471509935605891
IC1=CC(=CC=C1)C(=O)NCC1=CC=CC=C1,10.792951,0.35407254,1.4726811397754125
BrC1=CC(I)=CC(=C1)C#N,6.588688,0.29069257,1.4746236975705491
ClC1=CC=C(I)C(=C1)N(=O)=O,3.1427453,1.4743646,1.4753662010979514
NCC1=C(I)C=CC(Br)=C1,10.563316,7.8079066,1.475579953323482
COC(=O)C1=C(I)C=C(OC)C(OC)=C1,13.81443,2.6032965,1.478047246668586
CC1=CC(I)=C(CO)C=C1C,11.958905,7.7440777,1.4808376233472296
OC1=C(F)C=C(I)C=C1,14.504192,4.9368834,1.4808472359897986
FC(F)(F)C1=CC(I)=CC=C1I,9.652468,2.3529832,1.4848677194766535
ClC1=CC=C(I)C=C1CBr,10.1290455,4.74825,1.4894935731684589
OC(C1=CC=C(I)C(F)=C1)(C(F)(F)F)C(F)(F)F,6.3368,8.349643,1.4898335834093148
IC1=CC=CC(=C1)C#N,6.691838,0.35150707,1.4923453316758004
COC1=C(C=O)C(I)=CC=C1,4.8965187,2.6335196,1.492565332407508
CC1=CC(Cl)=CC(I)=C1N,9.370254,8.818673,1.495344653827518
FC1=CC=C(C=O)C(I)=C1,4.6628933,3.1691463,1.4969492022190214
CC1=C(C=CC(I)=C1)C#N,11.696493,3.9970992,1.499369907146627
FC(F)OC1=CC=CC=C1I,7.6601286,7.9604673,1.5018044853973995
IC1=CC(=CC=C1N(=O)=O)C1=CC=CC=C1,3.6199424,1.7365419,1.501849970778728
COC(=O)C1=C(Cl)C=C(C)C(I)=C1,6.408179,3.4734316,1.502442868212677
CC1=CC(=CC(I)=C1)C#N,7.3253593,0.40850747,1.5029065600910785
CCC1=C(I)C=C(C=C1)C(O)=O,6.048042,3.944339,1.503691276077047
IC1=CC=C(OC2=C(C=O)C=CC=C2)C=C1,9.848785,1.0595891,1.5038178156977025
FC(F)(F)C1=CC=C(I)C(C=O)=C1,4.475209,3.1152267,1.504036184524471
COC(=O)C1=C(OC)C=C(Cl)C(I)=C1,2.9946702,5.1086273,1.5082210906496392
CC1=CC(F)=C(I)C=C1N(=O)=O,4.7910395,6.4116144,1.5085629998311751
IC1=CC=C(C=C1)N1CCOCC1,15.885141,3.015006,1.50914163516033
CC1=CC(=CC(I)=C1)C(O)=O,8.194249,0.84997797,1.509247248220096
CC(C)CC1=CC=C(I)C=C1,13.519733,3.4853215,1.509308156679758
ClC1=CC=C(OC2=CC=C(I)C=C2)C=C1Cl,13.623663,2.2037125,1.5107455829885752
NC1=C(I)C=C(I)C=C1I,7.755166,5.8507075,1.5149541802638449
CCOC(=O)CC1=C(I)C=CC=C1,11.160493,7.7282724,1.5191675149758788
CC1=CC(I)=C(Br)C=C1F,1.4644161,5.950382,1.5216740262968655
COC1=CC=C(COC2=CC=C(I)C=C2)C=C1,14.459659,1.352956,1.522479003942847
FC1=CC(C=O)=C(I)C=C1,4.8637185,3.5577571,1.5229172327220657
COC1=CC(N)=C(C=C1I)N(=O)=O,6.259901,5.5323715,1.523446783490794
COC1=CC=C(I)C(C(O)=O)=C1F,11.341925,6.0597258,1.5255523449170212
IC1=CC=CC(=C1)C(=O)NC1CC1,9.5950575,0.34265462,1.5264982680217136
FC(F)(F)C(F)(C1=CC=C(I)C=C1)C(F)(F)F,11.196107,3.5644696,1.5266477018978144
OCC1=C(Cl)C=C(I)C=C1Cl,10.5123825,3.5210412,1.531595945053144
OC1=C(I)C=CC=C1N(=O)=O,5.540888,5.6180487,1.5326316602144154
ClC1=CC=C(C=C1)C1=CC=C(I)C=C1,13.570175,2.9126117,1.5343721025504462
CCOC1=CC=C(C=C1)C(O)C1=CC(I)=CC=C1Cl,13.2118845,0.8235727,1.535029075208998
CC(C)(C)OC(=O)N1CCN(CC1)C1=CC=C(I)C=C1,14.322853,0.8602349,1.5355841075943817
ClC1=CC(Cl)=C(I)C=C1,2.3567445,6.4625373,1.5360924868480814
CON(C)C(=O)C1=CC=C(I)C=C1,12.485663,2.9696434,1.537845703144797
COC(=O)C1=CC(I)=CC(N)=C1,9.26959,0.08473401,1.5383958622167395
OC1=C(I)C=C(C=C1C=O)N(=O)=O,5.245799,6.1660194,1.5392450819198542
FC1=CC=C(OC2=CC=CC(I)=C2)C=C1,13.667587,3.7157936,1.540747350490527
OC(=O)C1=CC=C(I)C(O)=C1,6.864018,7.0929713,1.540917790456762
BrC(C1=CC=CC=C1)C1=C(I)C=CC=C1,10.576748,7.3940816,1.5422707735437715
IC1=CC=C(C=C1)S(=O)(=O)N1CCCC1,10.639093,-1.19766,1.542542050517078
CC1=CC=C(I)C(C(O)=O)=C1F,11.20239,6.1488657,1.5425488792143491
CC(=O)NC1=CC(I)=C(C)C=C1,12.645141,6.782246,1.548532498449492
OC(=O)C1=CC(=CC2=C1C(I)=CC=C2)N(=O)=O,4.709439,1.6731032,1.5494876563712017
COC1=CC=CC(I)=C1OC,8.3433075,8.812653,1.555780304177785
CC1=CC(I)=CC(C(O)=O)=C1N,8.7266655,2.8498662,1.55780884202017
CCOC(=O)C1=CC=CC=C1I,6.289025,2.332528,1.5630588109573735
SC1=CC(Cl)=CC=C1I,2.2304025,6.8985887,1.5644584962653485
COC1=CC(=C(I)C=C1)S(F)(=O)=O,2.5941737,6.4126234,1.5656259984479897
CC1=C(Br)C(F)=CC(I)=C1,10.550419,5.1117387,1.568000717737637
IC1=CC=CC(=C1)N=C=O,12.424365,5.4666123,1.5685781913712185
OC(C1=CC=CC=C1)C1=CC(I)=CC=C1,13.049787,2.360779,1.5686045478171793
CS(=O)(=O)NC1=CC(I)=CC=C1,12.422512,3.7226942,1.5707540357637595
NC1=C(Br)C=C(I)C=C1,15.275845,3.8328395,1.5708551363788856
CC1=CC(=CC=C1I)C#N,11.5458975,6.9511256,1.5724650722924527
CCC1=C(I)C=CC(O)=C1,10.922204,8.386071,1.5733244139922458
OC1=C(F)C=C(I)C=C1F,13.632718,5.4403114,1.5740867297466532
IC1=CC=C(C=C1)C(=O)CCCC#N,9.552489,-1.1569875,1.5753042570247535
CC(=O)SCC1=CC(I)=CC=C1,12.830693,3.4268432,1.5758732718062871
FC1=CC(F)=C(I)C(F)=C1,6.3458357,8.775125,1.579386948522549
COC(=O)C1=CC=CC=C1I,5.8334694,2.231677,1.5813899771563165
COC1=CC(I)=C(C=O)C=C1OC,5.3629575,2.8314946,1.581543806156475
CC1=CC=C(C=C1)C(=O)C1=CC(I)=CC=C1,9.812082,0.07267093,1.5820627721900749
IC1=CC=C(NC(=O)C2=CC=CC=C2)C=C1,10.132675,1.2002597,1.5822362077056735
OC1=CC=C(OC(F)(F)F)C=C1I,7.891483,8.214445,1.5826902266863625
COC1=CC=C2OC(=O)C(=CC2=C1)C1=CC=C(I)C=C1,10.744682,0.80826616,1.583628522340212
CC1=CC=CC(C(O)=O)=C1I,5.8438787,4.094367,1.5850165953653483
FC(F)(F)C(=O)NC1=CC(I)=CC=C1,12.577037,3.8844666,1.5865063337027432
NCCC1=CC=C(I)C=C1,13.991289,4.4853907,1.5876658235273813
ClC1(Cl)CCCN(C2=CC=C(I)C=C2)C1=O,12.950356,1.8774221,1.5891572692415192
OCC1=CC=CC=C1I,11.908141,7.645023,1.5893851535598733
CC1=C(I)C=C(C=C1)C(F)(F)F,11.130062,7.545512,1.593230083228243
CC(C)(C)OC(=O)N[C@@H](CC1=CC(I)=CC=C1)C(O)=O,12.726633,1.0962704,1.5959747166670464
FC1=C(F)C=C(I)C(I)=C1,1.5885695,5.170525,1.5982512774005724
CC(C)(C)[Si](C)(C)OCC1=CC=C(I)C=C1,13.331407,1.357615,1.6009720029910537
ClC1=C(Cl)C=C(I)C=C1,11.139223,4.4137816,1.603039896273475
CN1C(=O)C(C)=CC(C(=O)NOCCO)=C1NC1=C(F)C=C(I)C=C1,11.824414,0.47853166,1.6058773773186743
ClC1=C(I)C=C(C=C1)C#N,2.3989153,5.7271147,1.6062572270275737
IC1=C(OCC2=CC=CC=C2)C=C(C=O)C=C1N(=O)=O,5.9339795,4.9520082,1.6100264150532824
