can,E,ES_root_dipole,ES_root_electronic_spatial_extent,ES_root_molar_volume,E_thermal_correction,dipole,electronegativity,hardness,homo_energy,lumo_energy,molar_mass,molar_volume,C1_APT_charge,C1_ES_root_Mulliken_charge,C1_ES_root_NPA_Rydberg,C1_ES_root_NPA_charge,C1_ES_root_NPA_core,C1_Mulliken_charge,C1_NMR_anisotropy,C1_NMR_shift,C1_NPA_Rydberg,C1_NPA_charge,C1_NPA_core,C1_VBur,I1_APT_charge,I1_ES_root_Mulliken_charge,I1_ES_root_NPA_Rydberg,I1_Mulliken_charge,I1_NMR_anisotropy,I1_NMR_shift,I1_NPA_Rydberg,rate
FC(F)OC1=CC=C(I)C=C1,-555.5227055482,7.2087985877,2910.5790479701,1388.5018685018,0.118297079,2.2870428641,0.1390556152,0.1055499815,-0.2446055967,-0.0335056336,270.0172,1247.9884185012,0.3794446959,-0.3070618448,0.0312204471,-0.2664898892,1.99875,-0.4050923321,90.3933636694,72.2881415987,0.0270276975,-0.2488988,1.9986335395,0.6252165359,-0.2476850375,-0.0968422353,0.0249007899,0.148166098,29.0781740865,45.4683153902,0.0053335395,1.325
CC1=CC(I)=CC(I)=C1N,-348.122595,9.8692,1990.8585,2108.337,0.135455,4.0227,0.133985,0.084265,-0.21825,-0.04972,358.948,1610.002,0.274624,-0.337183,0.02975,-0.18065,1.99871,-0.417556,69.8644,82.8128,0.02719,-0.25296,1.99861,0.6271239773,-0.273832,0.017951,0.01251,0.139052,29.7255,45.8682,0.00531,1.588
CC(C)(C)OC(=O)NCC1=CC=CC(I)=C1,-682.7533660326,7.3029125616,5437.4947121624,2261.1860162543,0.2813705166,3.04013097,0.140939415,0.1086212563,-0.2495606713,-0.0323181587,333.1684,2198.8487188979,0.5280220594,-0.3211778622,0.031002414,-0.258268064,1.9987540337,-0.4052386735,93.160464255,65.2122601215,0.0274604258,-0.2199679678,1.9986461712,0.6389075027,-0.2840261736,-0.0579438294,0.0257230859,0.1332885419,29.0199135502,45.3794471293,0.005167473,1.383
COC(=O)C1=CC(I)=C(Cl)C=C1N,-985.2093573208,2.5685401832,3822.3912511444,1582.0816807256,0.1534257499,3.1559094997,0.1379641558,0.0834445712,-0.2214087269,-0.0545195846,311.5063,1487.4794122288,-0.1435464065,-0.3844056509,0.029109079,-0.203972632,1.9984698465,-0.4286984076,51.0249644001,84.9564781181,0.028549386,-0.3098012731,1.998459693,0.6548700717,-0.1622388709,0.2925989317,0.00488,0.1894107116,28.2461349389,45.8124960287,0.005480307,1.204
BrC1=CC(I)=C(C=C1)N(=O)=O,-3017.704004,5.0936,3486.9588,1373.99275,0.093211,3.5565,0.18298,0.08645,-0.26943,-0.09653,327.9037,1253.01225,0.504376,-0.447198,0.02684,-0.27559,1.99854,-0.408103,120.3675,68.055625,0.02821,-0.22785,1.99858,0.6658275645,-0.111472,0.478486,0.00421,0.267011,30.0598,42.9635,0.00567,2.127
IC1=CC=C(C=C1)C1=CC2=CC=CC=C2OC1=O,-738.091488,5.2481,7012.23465,1833.585,0.213144,7.1584,0.15596,0.07931,-0.23527,-0.07665,348.1394,2432.306,0.535143,-0.393556,0.02767,-0.2109,1.99864,-0.397481,97.966,64.2911,0.02715,-0.22733,1.99865,0.6269666457,-0.312998,0.246464,0.00517,0.147388,28.9605,45.2135,0.00529,2.348
ClC1=CC(I)=C(Br)C=C1,-3272.850791,5.83385,2887.75585,1366.478,0.079411,1.4361,0.1551675,0.1014125,-0.25658,-0.053755,317.3512,1442.374,0.3201945,-0.3348995,0.03104,-0.265685,1.99855,-0.4166725,85.5938,60.1945,0.02957,-0.24928,1.99848,0.6581183134,-0.1579675,-0.006482,0.01872,0.2233725,29.73125,43.4951,0.00558,1.466
COC(=O)C1=CC(I)=C(Br)C=C1,-3041.0273065389,5.1115485779,4340.7626959245,1795.1898499104,0.1350754865,2.9186552614,0.1620325993,0.0988625834,-0.2608951828,-0.0631700159,340.9427,1683.802535545,0.2201422866,-0.360033283,0.0306499364,-0.2802514305,1.99853,-0.4360161671,81.5268003894,60.4156602996,0.0297199364,-0.2598103974,1.99847,0.6576468186,-0.164492558,0.0996390707,0.0224601113,0.2182985468,29.2831263848,43.7041130335,0.0055550079,1.579
COC1=C(I)C=C(C=C1)C(O)=O,-545.5825179629,9.196304589,2949.6669758752,1513.8486242318,0.1497386884,4.1004462595,0.1457837727,0.098276842,-0.2440606147,-0.0475069308,278.046,1481.8110329222,0.1526065523,-0.384252642,0.0323681247,-0.2979213369,1.9987447701,-0.4995234394,71.8654422966,77.0178090085,0.0273926119,-0.2836867936,1.9986247712,0.6490750233,-0.1896957927,-0.1361272151,0.0231221723,0.1794263013,25.8392431857,46.7833116668,0.0056452403,1.118
OC(=O)C1=C(I)C=C(C=C1)C#N,-523.3315747202,9.6497103379,2698.5350847851,1428.526057102,0.1147147155,4.0773678392,0.1748873008,0.0913683295,-0.2662556303,-0.0835189713,273.0296,1549.8082430108,0.445990649,-0.4640890061,0.0250797874,-0.2470323534,1.99857,-0.4180662069,123.9059440966,62.4710778755,0.0276594969,-0.2062368642,1.9986254989,0.6674413091,-0.1541901357,0.640865264,0.0021372645,0.2301994085,29.3554571325,43.213019952,0.0054322264,2.062
