can,E,ES_root_dipole,ES_root_electronic_spatial_extent,ES_root_molar_volume,E_thermal_correction,dipole,electronegativity,hardness,homo_energy,lumo_energy,molar_mass,molar_volume,C1_APT_charge,C1_ES_root_Mulliken_charge,C1_ES_root_NPA_Rydberg,C1_ES_root_NPA_charge,C1_ES_root_NPA_core,C1_Mulliken_charge,C1_NMR_anisotropy,C1_NMR_shift,C1_NPA_Rydberg,C1_NPA_charge,C1_NPA_core,C1_VBur,I1_APT_charge,I1_ES_root_Mulliken_charge,I1_ES_root_NPA_Rydberg,I1_Mulliken_charge,I1_NMR_anisotropy,I1_NMR_shift,I1_NPA_Rydberg,rate
OC1=CC(I)=CC(I)=C1,-328.722465,7.9296,1612.1807,1665.525,0.092994,2.6487,0.15165,0.09578,-0.24743,-0.05587,345.906,1231.04,0.656246,-0.365154,0.03015,-0.26787,1.9988,-0.40965,105.3751,64.593,0.02774,-0.20692,1.99867,0.6286972939,-0.256482,-0.049741,0.01167,0.165056,30.4196,44.5702,0.00534,1.9341327045132062
OC1=CC(I)=CC(O)=C1,-393.0850158551,13.4580611317,1758.5472201548,1205.8173349262,0.1075833985,2.9096303146,0.1346212302,0.100440039,-0.2350612692,-0.0341811911,236.0088,1158.7149846848,0.7268323827,-0.3416601159,0.0324583664,-0.341778775,1.99887,-0.4164969143,102.5182202936,65.3948855995,0.0274451307,-0.1977285262,1.99868,0.6266095308,-0.2564813187,-0.3983091082,0.0168396078,0.14152648,29.6521927069,45.2045582252,0.0052299389,1.504741499192562
OC1=CC(I)=CC=C1,-317.9202108375,12.2579004132,1442.566859888,1341.2003188982,0.1020547163,3.2366863693,0.1363018145,0.1031859818,-0.2394877963,-0.0331158326,220.0094,984.7913586789,0.6211304863,-0.3212052564,0.0317190588,-0.2887718134,1.99882,-0.404813463,98.1603207531,65.1497863114,0.0272336018,-0.2118296244,1.9986622715,0.6266376019,-0.2699425788,-0.2768051021,0.0189431448,0.1350411681,29.1687035373,45.2921942508,0.00521,1.6812530662180674
OC1=CC(I)=CC=C1C1=C(O)C=C(I)C=C1,-634.680651,2.6346,4292.1053,2188.4065,0.184864,4.1872,0.13656,0.09512,-0.23168,-0.04144,438.003,1965.513,0.587004,-0.433531,0.02783,-0.25796,1.99865,-0.415513,103.3502,65.1879,0.02768,-0.21626,1.99866,0.626809314,-0.281031,0.134442,0.0077,0.161869,29.7722,44.9722,0.00534,1.131558695566623
OC1=CC(I)=CC=C1N(=O)=O,-522.2735219473,7.4782017057,2517.5645075978,1328.6698155812,0.1073059993,2.7827341783,0.1827149675,0.0789150264,-0.261629994,-0.1037999411,265.007,1081.4765443257,0.8308067043,-0.4314699603,0.028319999,-0.2904698086,1.9987399997,-0.4052209881,131.3608763559,50.5203169247,0.0279000018,-0.1949900154,1.99869,0.6275959684,-0.2664529427,0.2225750836,0.0056599997,0.2049627291,29.0555011278,43.6862011382,0.0054699999,3.6488914318042185
OC1=CC(OCC2=CC=CC=C2)=CC=C1I,-663.1067800856,10.5836841305,5989.4500100872,2201.8039939701,0.2236356333,2.6324997676,0.1297623945,0.097175457,-0.2269378515,-0.0325869375,326.1332,1990.033350119,0.1043335085,-0.3636695766,0.0313556778,-0.2987422103,1.9987276033,-0.5002167933,49.8189774067,91.9892635568,0.0255394028,-0.330104233,1.9985870812,0.6493627069,-0.2312420318,-0.2072451486,0.0208208152,0.1582186131,24.476249145,48.5630516821,0.0054158268,2.6351643275673333
OC1=CC2=C(C=C1)C(=O)C(OC1=CC=C(I)C=C1)=CO2,-888.384283,6.0534500795,8472.0914758167,1944.9000561532,0.22399,6.7692304169,0.1465025013,0.0868925013,-0.2333950026,-0.05961,380.1382,2662.1299833585,0.345075495,-0.3858915024,0.0279,-0.2082000053,1.99864,-0.4068740005,83.5706004239,75.0782,0.02677,-0.2535650026,1.99864,0.6266913361,-0.2645674971,0.2342214981,0.00497,0.1376985019,29.1546,45.7625,0.00529,1.9604428443660276
OC1=CC2=C(C=CC=C2)C(I)=C1,-471.392278,4.4133,2516.0323,1445.528,0.151945,3.5379,0.13557,0.08703,-0.2226,-0.04854,270.0692,1230.237,0.627287,-0.496718,0.02629,-0.22155,1.99862,-0.471823,76.3789,62.1088,0.02628,-0.18439,1.99864,0.6574889868,-0.25054,0.174726,0.00573,0.158754,26.7523,46.1502,0.00508,1.4080880018662658
OC1=CC2=C(C=CC=C2I)C=C1,-471.393635,1.7465,2526.3134,1342.79,0.151857,1.0561,0.13535,0.08735,-0.2227,-0.048,270.0692,1470.675,0.443606,-0.483669,0.0263,-0.22678,1.99862,-0.468212,66.4181,66.2986,0.02596,-0.20718,1.99863,0.6585903084,-0.26697,0.174438,0.00558,0.143827,25.9264,46.6212,0.00505,1.4849652342441115
OC1=CC=C(C=C1)C1=CC=C(I)C=C1,-548.708897,18.2788,4976.439575,1900.88725,0.188255,3.179,0.126575,0.094505,-0.22108,-0.03207,296.107,1652.173,0.463102,-0.302547,0.03126,-0.25296,1.99877,-0.401187,91.0093,67.3033,0.02696,-0.23443,1.99864,0.6228760227,-0.305913,-0.263617,0.02176,0.136733,28.7221,45.5888,0.00526,1.4390835669583164
OC1=CC=C(C=C1I)C#N,-410.087684,6.0282,2038.1348,1492.636,0.102685,5.1077,0.149565,0.102045,-0.25161,-0.04752,245.0192,1340.326,0.149335,-0.384692,0.03139,-0.33023,1.99874,-0.49979,67.7933,79.8235,0.02697,-0.31317,1.99861,0.6502517306,-0.198683,-0.122207,0.02015,0.212361,24.6054,47.5158,0.00545,1.1580117821511624
OC1=CC=C(C=C1I)C(F)(F)F,-654.720928548,7.0676342165,2813.3767072895,1319.4540287287,0.1106434853,3.4922604864,0.1432305085,0.1053426873,-0.2485731958,-0.0378878212,288.0077,1479.6468979493,0.2181496995,-0.3745925921,0.0317104787,-0.3106300629,1.99874,-0.4918069128,70.6356574001,80.0375294584,0.0269094123,-0.2984406803,1.99862,0.6489635745,-0.1961310197,-0.114646145,0.0224872829,0.1906989665,25.2874408451,47.1834544605,0.0055613239,0.8385661691227483
OC1=CC=C(C=C1I)C1=CC=C(C=C1)C#N,-640.8768857453,17.9008231931,5902.7427703194,2020.3140110015,0.1888242452,6.1838953764,0.1474149035,0.0856184133,-0.2330333169,-0.0617964902,321.1168,1685.6714509177,0.2211518597,-0.4572554869,0.0289682692,-0.2571784948,1.9986441346,-0.4912919582,71.3492032451,79.298967266,0.0269569714,-0.289286963,1.9986079327,0.6499828284,-0.2188227695,0.2368879997,0.0070129791,0.1743040907,25.5122028407,47.0987906688,0.0055500482,1.3104390078323889
OC1=CC=C(C=O)C=C1I,-431.1495004994,1.8372256002,2061.2587666238,1290.9396833203,0.1135912958,3.5154266778,0.1562929901,0.0934410948,-0.2497340849,-0.0628518954,248.0198,1080.2690775977,0.1559570249,-0.4917630583,0.0262909858,-0.2986195213,1.99861,-0.4929908012,59.1563322759,78.9594674515,0.0266973366,-0.3114026856,1.99861,0.6500444401,-0.2280921333,0.1766665546,0.0053239052,0.1951331336,24.0805387189,47.8542947688,0.0053531754,0.9491775627933102
OC1=CC=C(Cl)C=C1\C=C\C1=C(I)C=CC=C1,-1085.4970648721,3.8654230846,7288.7918872699,2183.9282625837,0.2158172347,4.3050321144,0.1415040739,0.0817932006,-0.2232972746,-0.0597108733,356.5899,2128.098652149,0.4149046692,-0.4453222171,0.0256134221,-0.2088162274,1.9986148261,-0.4449718065,79.848147057,62.6196396834,0.0258812267,-0.2026474413,1.99862,0.6596736144,-0.2569475935,0.1302680979,0.0056846492,0.1482791318,25.2597007806,46.2522868149,0.0051113418,1.381173697447188
OC1=CC=C(I)C(Br)=C1,-2888.5316843175,10.0571675639,2263.3540596019,1191.1373972666,0.0934000921,4.1230583209,0.1418570443,0.0961943198,-0.238051364,-0.0456627245,298.9055,1167.8416410445,0.0875591284,-0.3286421252,0.030996364,-0.2516322799,1.99853,-0.434174809,61.6520007658,74.0003371648,0.0285772728,-0.2897709105,1.99844,0.6557154312,-0.1634872289,-0.0438747336,0.0197922746,0.1915671793,28.7266635342,44.8174910716,0.00554,0.7377049031634683
OC1=CC=C(I)C(F)=C1F,-516.2546030227,9.0334260105,1901.2133055138,1085.4612841252,0.0875291301,2.4577238296,0.1399157012,0.0996425677,-0.2395582689,-0.0402731335,255.9904,877.9730140736,0.1348555319,-0.426787207,0.0317851354,-0.3260076257,1.9987184865,-0.541076781,71.5031713229,90.8168681831,0.0266675677,-0.3419125387,1.9985984865,0.6419131529,-0.1393393839,-0.0928033462,0.0219166489,0.2000603153,26.5014468088,46.7434866053,0.0060215135,1.062028111020153
OC1=CC=C(I)C2=CC=CC=C12,-471.390093,12.16165,2462.6774,1330.8945,0.151835,3.28935,0.1322925,0.0850225,-0.217315,-0.04727,270.0692,1240.152,0.2558195,-0.350257,0.03062,-0.2097,1.99876,-0.4789935,52.61725,76.2561,0.02564,-0.23064,1.9986,0.6567809943,-0.2437815,-0.258239,0.01983,0.1455135,26.275,46.83035,0.00508,1.168801808734947
OC1=CC=C(I)C=C1,-317.92022,10.2892,1532.8906,1454.6455,0.10205,2.941,0.130875,0.100565,-0.23144,-0.03031,220.0094,1154.7185,0.300541,-0.300557,0.03166,-0.25219,1.99876,-0.413041,77.7191,78.2744,0.02664,-0.26127,1.99863,0.6242920076,-0.255297,-0.187805,0.02324,0.129538,28.5269,46.0349,0.00528,0.4269356662778512
OC1=CC=C(I)C=C1C#N,-410.0862013637,8.2096875667,2114.0739053833,1232.4049177951,0.1026591581,5.308160404,0.1516780653,0.0938570093,-0.2455350747,-0.057821056,245.0192,1409.8890460208,0.2014995579,-0.4065099956,0.0277674959,-0.1938818133,1.99862,-0.4280962604,92.9353219572,77.0055824091,0.0276216639,-0.2672424544,1.99863,0.626245564,-0.2073113199,0.3904196219,0.003845832,0.1767250168,29.7252137129,45.0244118264,0.005474168,1.9903304685069583
OC1=CC=C(I)C=C1C(F)(F)F,-654.7190271417,8.0865508366,2714.0268270866,1400.2711844417,0.1106338726,3.1752268713,0.1384975861,0.1028578486,-0.2413554347,-0.0356397375,288.0077,1392.7232773245,0.2638875298,-0.3193249443,0.0319832909,-0.2667409968,1.99876,-0.4261771686,85.8034377079,77.5704429819,0.0274254423,-0.2603940555,1.99863,0.6252897781,-0.2228122597,-0.1173928297,0.0240065817,0.1609515251,29.5066071159,45.3677361399,0.0054188606,1.5352577542539743
OC1=CC=C(I)C=C1C=O,-431.1578506629,7.3381323066,2162.7237363308,1276.4869711991,0.1137039969,1.6180441156,0.1586949184,0.0815551277,-0.2402500461,-0.0771397907,248.0198,1185.3129621061,0.1512447928,-0.3990674352,0.027979971,-0.1877317692,1.99862,-0.4280927183,83.2540763319,78.3170200506,0.0274799926,-0.272279754,1.9986299997,0.6257080118,-0.2262634543,0.3706690587,0.0038800429,0.1621388105,29.1932962466,45.3512035989,0.0054299985,1.7659401998512403
OC1=CC=C(OC(F)(F)F)C=C1I,-729.879455675,8.1069956344,3311.4571076274,1396.3344188245,0.1156432476,2.3624764961,0.1411358772,0.1027786529,-0.2439145301,-0.0383572243,304.0071,1570.0703163293,0.2670671784,-0.3791053687,0.0317024886,-0.3092087923,1.9987543854,-0.4989131817,73.081846976,80.5135309726,0.0265882701,-0.294775096,1.99862,0.6512370232,-0.1970517975,-0.1661100329,0.0203841648,0.1892775389,25.5979251398,47.0358760981,0.0055672079,0.5586914956797118
OC1=CC=C(OC2=CC=C(I)C=C2)C=C1,-623.853823,11.2993,5439.62,1654.078,0.192819,3.1531,0.131725,0.100735,-0.23246,-0.03099,312.1064,2111.588,0.326681,-0.299709,0.03153,-0.25421,1.99876,-0.408631,80.0725,76.5775,0.02672,-0.25667,1.99863,0.6255506608,-0.266741,-0.177968,0.02317,0.133121,29.0136,45.9362,0.00528,1.554932460236965
OC1=CC=CC(C=O)=C1I,-431.1432578458,2.0341020718,1810.866799228,1303.4627935001,0.1133919255,4.1171449364,0.1600891721,0.0859541863,-0.2460433584,-0.0741349859,248.0198,1436.601120023,0.3719469501,-0.5436062959,0.0243955377,-0.3057744834,1.9985435082,-0.5115513948,75.1944380946,73.1197038701,0.0253846955,-0.261003245,1.9985791853,0.6813728908,-0.1848557724,0.2316774949,0.0053139354,0.2039097106,20.4479227066,49.079026248,0.0052482059,0.8516132422806602
OC1=CC=CC(I)=C1F,-417.0893076099,11.529633518,1550.7050774932,1065.1659325245,0.0947115424,1.4631789188,0.1405344606,0.1022199615,-0.2427544221,-0.0383144991,237.9999,1021.173099674,0.3956056178,-0.4371920714,0.032456926,-0.3998603179,1.9987420493,-0.5219278393,86.1362918698,79.963773498,0.0271584823,-0.3045068876,1.9985910247,0.6437405275,-0.1697286606,-0.2874769831,0.0165064714,0.1903293066,26.0304497494,46.6633324507,0.0059289753,0.7822855460822767
