,E,ES_root_dipole,ES_root_electronic_spatial_extent,ES_root_molar_volume,E_thermal_correction,dipole,electronegativity,electronic_spatial_extent,hardness,homo_energy,lumo_energy,molar_mass,molar_volume,C1_APT_charge,C1_ES_root_Mulliken_charge,C1_ES_root_NPA_Rydberg,C1_ES_root_NPA_charge,C1_ES_root_NPA_core,C1_NMR_anisotropy,C1_NMR_shift,C1_VBur,C2_APT_charge,C2_ES_root_Mulliken_charge,C2_ES_root_NPA_Rydberg,C2_ES_root_NPA_charge,C2_ES_root_NPA_core,C2_Mulliken_charge,C2_NMR_anisotropy,C2_NMR_shift,C2_NPA_Rydberg,C2_NPA_charge,C2_VBur,O1_APT_charge,O1_ES_root_Mulliken_charge,O1_ES_root_NPA_Rydberg,O1_ES_root_NPA_core,O1_Mulliken_charge,O1_NMR_anisotropy,O1_NMR_shift,O1_NPA_Rydberg,O1_NPA_charge,O1_NPA_core,O1_VBur,N1_APT_charge,N1_ES_root_Mulliken_charge,N1_ES_root_NPA_Rydberg,N1_ES_root_NPA_charge,N1_ES_root_NPA_core,N1_NMR_anisotropy,N1_NMR_shift,N1_NPA_charge,N1_VBur
C#Cc1cccc(NC(=O)c2cc(OC)c(OC)c(OC)c2)c1,-1049.772346734483,5.129632089342523,11176.392664226323,2534.476443638967,0.3378450603969409,2.907172402245036,0.140265289149888,11123.544788424584,0.0915690939619646,-0.2318343831118526,-0.0486961951879234,311.3366,2552.9164977912938,-0.1463339330412727,-0.0582893946447295,0.0205553068865575,-0.1666943869943677,1.9988824327783827,154.41812366269147,63.652231103934575,0.6480471495445026,1.394590635596752,0.1689784344217781,0.0487499249347113,0.6169712047299629,1.9991763157885143,0.2296021031690735,94.85614613479687,34.62958170626545,0.0473347350334774,0.7225177725500931,0.5917084681087055,-0.7985275884004375,-0.2930059865339571,0.0107782872824732,1.9997394783430509,-0.2647031220767153,644.4934243913657,-54.14829803462765,0.0097943216963998,-0.6252991387092591,1.99973,0.4527203765615689,-1.053736148178499,-0.1254371152321857,0.0098372106327354,-0.6076516947622665,1.999092021626564,94.20174655297528,130.82503350701063,-0.6354255430256956,0.5861105515879454
C#Cc1cccc(NC(=O)c2ccc(C)c(F)c2)c1,-845.164109696854,13.409575227150992,7775.312751888757,2051.692303442167,0.255477465701618,3.6207911595619056,0.1479678292642495,7767.433187705048,0.0903196027048131,-0.2382874319690627,-0.0576482265594363,253.2753,2038.9927768982848,-0.1902977280389358,-0.1016580745498261,0.0199180315681341,-0.2370300295326524,1.99884,157.7044618168816,58.9905067382081,0.6474342237872835,1.356302671824592,0.1667853608438068,0.0486373675797241,0.6505791839483177,1.99917,0.2329178159962492,94.52461229130864,35.137558683598094,0.0473833868305222,0.7193874679477955,0.5913995298572625,-0.7850853941421787,-0.2794730943164465,0.0106829534935847,1.99973,-0.2579371191981163,648.9196309006339,-60.64550249051521,0.0098688227488622,-0.6178599514922214,1.99973,0.4514210567779412,-1.0189135633511883,-0.1007851698365042,0.0096176410650812,-0.5747902697632685,1.99909,95.1262865590185,129.99006401089304,-0.6359532064758484,0.5858033269409818
C#Cc1cccc(NC(=O)c2ccc(C)cc2)c1,-746.062765446209,11.652678487368563,7003.602501595994,2052.609375423864,0.2626747883489665,3.705799402342063,0.1436744381832266,6987.764561717588,0.0915746789618437,-0.2352491171450703,-0.0520997592213828,235.2848,2084.14285104858,-0.258734832413787,-0.1010662918679267,0.0201543430425279,-0.2393473036180543,1.99882,162.6552676253618,61.53807487978553,0.6482509200556332,1.3795904799375245,0.1637807565131571,0.0486329488680446,0.6441275534240901,1.9991628686085048,0.2323614695760641,95.45154838056897,34.24013613764879,0.0473786058255167,0.7199511533958659,0.5901955393130278,-0.7953750176570744,-0.2802285716706915,0.0106614744340223,1.99973,-0.2610328531745349,650.0352437159032,-59.900530659468814,0.0098314744340223,-0.6209256362225715,1.99973,0.4524071743234738,-1.0360069606824944,-0.0966263410677607,0.0095844233020669,-0.5670396077297234,1.99909,94.62319582004332,130.3289772122093,-0.6371831896466618,0.5862409445252095
C#Cc1cccc(NC(=O)c2ccc3nc(C)ccc3c2)c1,-915.4523762927984,19.399466131260525,10910.24094020544,2374.29313360193,0.3003873108303757,3.312631304568042,0.155310237028494,10902.481160602943,0.0824108456198608,-0.2377210826483549,-0.0728993914086332,286.3324,2319.6402315870864,-0.2752118625057018,-0.0827653783009723,0.0185361630229902,-0.2384577071824551,1.99881,159.58227785353483,61.71218809160919,0.6477003480541015,1.4393131315386964,0.2025709742388414,0.047738132750347,0.7110658575331503,1.99915,0.2331954435382287,94.83784204476736,34.16641277078402,0.0474394242581395,0.7197343485726974,0.5932482942114665,-0.8230432560321782,-0.2488236143549846,0.0100168310713368,1.99973,-0.2598134360549885,651.4590949211713,-62.07648693464849,0.0098417898074117,-0.6196582023461864,1.99973,0.4515238260248908,-1.0723660586366175,-0.0901039696809997,0.0090465737091505,-0.5541904134129108,1.9990868310713368,94.67960540479392,129.24358453891102,-0.6364106430243865,0.585996127646013
C#Cc1cccc(NC(=O)c2ccc3nccnc3c2)c1,-892.2388054708134,4.751059093093056,9153.475866401506,2151.2160137565,0.2593624371156306,3.348237982474216,0.1670449793591444,9133.60754906336,0.0736113585204609,-0.2406563378796053,-0.0934336208386834,273.2934,2030.88078852561,-0.1702858124707958,-0.0705860207923457,0.0182805944523058,-0.156830498865847,1.99884,163.932076498818,57.47425569868558,0.6475355040357847,1.3203986791148594,0.2261647995972464,0.0476243206314981,0.7145426872501824,1.99916,0.235434344577136,94.43237743915498,34.76718342555036,0.0474194022963441,0.718186464915858,0.5914172403459157,-0.7783173523523511,-0.260784681131182,0.0099212548867584,1.99973,-0.2538487384840999,660.3458811207652,-68.25638128270401,0.0099097706881611,-0.6134085760978976,1.99973,0.4525791355105324,-1.0091441701710164,-0.1436999785233935,0.0094899999999999,-0.6353963246877778,1.99909,95.72112212617816,128.86146178738255,-0.6343208669868411,0.5869805350901406
C#Cc1cccc(NC(=O)c2oc3ccccc3c2C)c1,-897.2557208012702,10.365811371261604,8713.332540648847,2092.163333763405,0.2819055704890955,3.436489011245455,0.1491451436324678,8730.254714673785,0.0848893448917324,-0.2340344885242003,-0.0642557987407353,275.3062,2195.8187745194805,-0.1486686164660427,0.058032391404256,0.0294818535363269,0.1726546312675411,1.9986199998521377,79.38208010089588,52.00980484096021,0.638645097375333,1.5300958240831988,0.1209607325292414,0.0451431875801404,0.6014198942865505,1.9991600002957248,0.1870608565679714,82.87399032963211,40.801941877883614,0.0434882101923765,0.6766027100805546,0.5875044387899911,-0.8348016935979585,-0.284290851734777,0.0103822952532068,1.99974,-0.2595289909749469,615.7418697252748,-36.754053016303786,0.0096963834191478,-0.6261497685125228,1.9997399998521372,0.470232009393508,-1.0766746609072513,-0.1039316740354748,0.0103422742567429,-0.5747102310476051,1.9991000001478625,84.40655554890074,129.0671836999887,-0.6321406429362064,0.5780622600835077
CC(=O)c1ccc(NC(=O)/C=C/c2ccccc2)cc1,-860.4461683735229,4.351646100992608,11613.361741281664,2371.350738474354,0.298658005803961,4.838618902193984,0.1600405785217683,11558.08333806752,0.079083579151391,-0.2391241576731594,-0.0809569993703773,265.31100000000004,2186.8946683428103,-0.5312685882967092,-0.1276851894888284,0.0143175251098425,-0.3270455854186019,1.9988900000000005,107.43499108935735,75.61926966375975,0.5451791270316653,1.5590960045986473,0.2076365533027187,0.0470096215853935,0.6714618837364463,1.9991900000000005,0.2255169286818288,92.7201218054374,35.999027342810066,0.0466078436286522,0.6950571223926733,0.561760629899495,-0.8115479652783757,-0.2855901737179103,0.0100334336955873,1.9997300000000005,-0.2687516917604638,638.8914161695895,-41.9001532539475,0.0098001394030754,-0.6272443549954524,1.9997300000000005,0.447590092573954,-1.1989605733022544,-0.1297673459889334,0.0098218139542293,-0.618150346931318,1.99909004851278,99.22027105406627,118.7831605299144,-0.6272700809997146,0.5582796326930259
CC(=O)c1ccc(NC(=O)C(C)c2ccc(CC3CCCC3=O)cc2)cc1,-1169.749093921031,2.8607884058819524,16926.734065530774,3073.66024137034,0.4607388859354537,5.267119769586074,0.1472689011753043,17592.04593795155,0.0922325133787414,-0.2395014145540457,-0.0550363877965628,363.4554,3233.0049898902994,-0.0047952499177303,-0.0852909385069747,0.0183765063059983,-0.3465435346800531,1.9989393748374609,20.04439109672727,143.6864227269487,0.6809714069253211,1.183893749416785,0.1554471348711204,0.0515214985821277,0.7295156992896353,1.999209999625828,0.1662362122659225,103.3488751241877,26.52085873824368,0.0512166164472952,0.7446122419937569,0.6366747520950552,-0.7657066164091596,-0.2645488858797677,0.0103806223711056,1.99972,-0.2517273709690671,679.2477189519509,-78.69252351246043,0.0102094248284872,-0.6185414410045077,1.999719999812914,0.4664246281683233,-1.1028579537899037,-0.126770567893154,0.0098546120380138,-0.6412145872582917,1.99907,90.2324113687811,116.96462385637103,-0.6458794405157592,0.6192007358243916
CC(=O)c1ccc(NC(=O)C(c2ccccc2)c2ccccc2)cc1,-1053.039136295847,2.527200416108636,11006.183072787231,2680.626735978441,0.3792217022464107,3.999760658366776,0.1501212593600448,12159.193343378058,0.0923314122986457,-0.2424526716586905,-0.057789847061399,329.3976,2769.60450777555,-0.0095519173745907,0.0487310464075728,0.02492,-0.3581015674009921,1.9989,17.935649827945767,130.62476810805504,0.7306803502287736,1.1783014877137907,0.1377450853759206,0.0539573283413094,0.7310730480887602,1.9992,0.1472872537233423,104.7348571358466,29.006249519524047,0.0536691604266367,0.7467244625511513,0.6620660170337268,-0.7548804291260509,-0.2533767968728354,0.0106518320853273,1.99971,-0.2402580323826584,648.9091617563323,-82.41075677431664,0.0104518320853273,-0.6099475909973675,1.99971,0.4577375499774659,-1.0986606940761952,-0.1375135007267369,0.0099777459642456,-0.6461731261470025,1.99906,99.91855947299103,113.65485889563786,-0.6511824395122403,0.657958865545736
CC(=O)c1ccc(NC(=O)C2(c3ccccc3)CC2)cc1,-899.6707599374428,2.8485487004954395,8370.077075429863,2142.831028804216,0.3287837588463675,4.2588779148572815,0.147885750089442,8990.369858313958,0.0922445718062229,-0.2401303218956649,-0.055641178283219,279.3378000000001,2236.9614006357037,-0.2601070364361562,-0.2770091565313277,0.0243832282893047,-0.1814262405995119,1.9987900000000005,73.37818722025814,159.49151342314622,0.7567467858290231,1.283046725437645,0.2568726434208858,0.0512664618542013,0.7300450032893421,1.9991000002705437,0.2667177953325764,106.81083746213906,26.93290501613776,0.0510329325010557,0.744321752680226,0.6448029199958676,-0.789315376736498,-0.2795333073310723,0.0099532364055998,1.99973,-0.2673589404316506,624.6615405118633,-32.28318273241993,0.0097864722701134,-0.6391679880975379,1.99973,0.4834407755305432,-1.1094214976315195,-0.1355377526093315,0.0095764763282609,-0.6339033959404219,1.9990700002705435,89.62800359272264,115.55104732239124,-0.6389622027773285,0.616878865283706
CC(=O)c1ccc(NC(=O)C2C(C)(C)C2(C)C)cc1,-825.9559264977551,2.259597058019712,8426.872100738568,2351.8841094909703,0.3604336794229683,4.45354422555527,0.1475214888564753,8011.038958163228,0.0919934731339635,-0.2395149619904389,-0.0555280157225118,259.3474,2573.0420649099824,-0.4901811218899392,-0.0901257625253152,0.0224368702488048,-0.3387681677607562,1.99883,59.28804209579528,153.1615168798131,0.7120926800883353,1.37013876260626,0.2527518322392438,0.0490193892535854,0.7172093132344632,1.99914,0.2622333819110169,102.68674596646004,28.547372088494228,0.0487756487559756,0.7314999239808778,0.6394354783634448,-0.7571812133722295,-0.289078004408843,0.0096031297511951,1.99972,-0.2773263255045621,645.3181360887667,-59.52755407566328,0.0094562595023902,-0.6419000812059963,1.99972,0.5395298773565222,-1.1463712202770555,-0.1359654621605831,0.0102831297511951,-0.626607709052586,1.99909,123.5839796142543,115.63324390955027,-0.6314196173109521,0.5625783668222066
CC(=O)c1ccc(NC(=O)C2CC3(CC3)CN2C(=O)OC(C)(C)C)cc1,-1185.9917887535817,4.604893607323601,12185.68072673784,2884.2745372873865,0.4638344963544734,6.598291515244314,0.1431375432976871,12551.82265828618,0.0915910356898298,-0.2347285789875169,-0.0515465076078572,358.43639999999994,2912.0847956733187,0.2498216970497915,0.0102425787305367,0.0228510852078644,-0.1084179028688412,1.9990097015979091,24.48356783687233,131.9758783681792,0.6997190741048802,1.1088903865361524,0.1977486960281924,0.0504605900844309,0.712410372519888,1.999215433949896,0.2089151806113191,97.39578421394005,28.38844105620857,0.0502209371868398,0.7292486526862221,0.6591477738815521,-0.7375428431727048,-0.274370909881843,0.0103475467444969,1.999719987663683,-0.2605365444688237,631.1176163168534,-69.15959772911981,0.0101673493799947,-0.6277696912272934,1.9997191611304248,0.510334996138151,-1.1406930887952498,-0.1369922662663632,0.009969626650765,-0.6559445919266027,1.999050634627434,81.63215171593929,119.00281911609956,-0.6610490578778007,0.6403923827516452
CC(=O)c1ccc(NC(=O)C2CCCN2C(=O)OCc2ccccc2)cc1,-1221.6839159614135,2.3801055653337206,11201.642506804925,3076.9873595559893,0.42715359407895,4.038939862839963,0.1474408196854295,12894.709853248194,0.0919887010862929,-0.2394295207717224,-0.0554521185991365,366.4158000000001,2893.5546667408817,0.2300377611668569,0.0289570015087192,0.0238439116121132,-0.1159841918939331,1.9990179434712425,29.05245829769761,132.7946974129835,0.6997871823715496,1.077788566864741,0.1748687089511249,0.051906295845081,0.7128926076075242,1.9991902707565563,0.1853140390714537,103.1470524597459,28.23938748045069,0.0516890204205067,0.7281231841520601,0.6603946001069986,-0.7197133949668001,-0.2741626766312094,0.0105466338327051,1.99972,-0.2610298748721079,645.0273477515615,-62.45112498651233,0.0103735725207354,-0.6239098435664524,1.99972,0.4643051779543841,-1.0504593807831213,-0.1307967644093368,0.010451857569969,-0.6479376235052711,1.9990569710621844,89.0739759981518,123.97638818907907,-0.6524758678567755,0.6789657864525596
CC(=O)c1ccc(NC(=O)C2C[C@H]2c2ccccc2)cc1,-899.6673766974362,2.807830934655993,11236.22492858736,2184.6097273392947,0.3288421451976424,4.6690795409117545,0.1509085133872041,11034.73096546625,0.0923142005241308,-0.243222713911335,-0.0585943128630732,279.3378,2187.8478799758914,-0.3942586983708209,-0.1863998488097723,0.018086542782267,-0.3321653154837278,1.99891,77.50042134439906,159.6516206516716,0.6381070730732226,1.4000916485607604,0.2355842342258136,0.0500203716531989,0.7120150561694711,1.99915,0.2455605540161612,104.40492303953508,29.347257320372528,0.0497372860886649,0.7264373984276072,0.5972125373022646,-0.7727558772701462,-0.2812775572963857,0.0099634572177329,1.99973,-0.268637714570905,634.1435118387983,-36.66738678880046,0.0098069144354659,-0.6376784094780888,1.99973,0.4786543642406153,-1.1295815215242868,-0.1316249500065268,0.0099969144354659,-0.6264886603625184,1.99908,118.3234186119344,119.62544149945168,-0.6314928608866492,0.5595316058988663
CC(=O)c1ccc(NC(=O)C2Cc3ccccc3C2)cc1,-899.700910933831,2.936953609138928,8517.30116856395,2539.9543766113447,0.329847592500987,4.747168484463854,0.147185612681884,8879.532325065453,0.0927185528456474,-0.2399041655275315,-0.0544670598362365,279.3378,2168.968164746449,-0.0435859971116,-0.2295443636745415,0.0197792444809547,-0.3231722817073629,1.9989701134872888,27.30987763314428,144.66227700926888,0.6601430920214963,1.1897931626695115,0.1876381023087414,0.0527573240379861,0.7242582661285712,1.99916833693142,0.1976023854453007,105.47384099338989,25.84425604262839,0.0524381521790022,0.739141604147725,0.6258246799833501,-0.7428297355521372,-0.2613435119435353,0.0106503452876144,1.99972,-0.248348994358311,638.539507259867,-88.56681571954725,0.0104814551103967,-0.6145270527236476,1.99972,0.437475965793763,-1.0734283539625142,-0.141512091038513,0.0102224608735379,-0.650565548021932,1.9990720035304463,85.36637560433142,126.16143128303943,-0.6547902112310052,0.6400070680798148
