,amine_SASA,amine_HOMO,amine_LUMO,amine_IP,amine_Dipole,amine_N_1_BV,amine_N_1_SASA,amine_N_1_P_int,amine_N_1_charge,amine_N_1_electrophilicity,amine_N_1_nucleophilicity,amine_N_1_radicalFukui,acid_SASA,acid_HOMO,acid_LUMO,acid_IP,acid_Dipole,acid_O_1_BV,acid_O_1_SASA,acid_O_1_P_int,acid_O_1_charge,acid_O_1_electrophilicity,acid_O_1_nucleophilicity,acid_O_1_radicalFukui,acid_C_1_BV,acid_C_1_SASA,acid_C_1_P_int,acid_C_1_charge,acid_C_1_electrophilicity,acid_C_1_nucleophilicity,acid_O_2_BV,acid_O_2_SASA,acid_O_2_P_int,acid_O_2_charge,acid_O_2_electrophilicity,acid_O_2_nucleophilicity,acid_O_2_radicalFukui,acid_C_2_BV,acid_C_2_SASA,acid_C_2_P_int,acid_C_2_charge,acid_C_2_electrophilicity,acid_C_2_nucleophilicity
NCc1cccc2ccccc12.O=C(O)COc1ccccc1,339.3382426208843,-0.3664972923012384,-0.258758288348514,7.709156153686094,0.4990270651346774,0.3072721828181491,21.81124104249799,16.009389760485078,-0.3378888516138844,0.0176934132759779,0.1086336133512398,0.0631635133136088,324.37931645988965,-0.3809320239711072,-0.2502938470456785,8.321526958526185,1.043347168845414,0.3896376389114849,37.58381596263693,16.292393255530367,-0.3777168695334458,0.1435882125694368,0.073331944295748,0.1084600784325924,0.4833348332733611,4.785285551087783,21.329233882772748,0.3540098527446748,0.0806172119251839,0.0109288939270028,0.3077029961805898,32.016605854235,15.136928182907432,-0.3828626068471827,0.0782374841107592,0.0467500024738741,0.0624937432923166,0.4625297518264223,6.091747198065621,21.1766644972083,0.0532702116311341,-0.0212553746600701,-0.0166362970181621
NCc1cccc2ccccc12.CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1,339.3382426208843,-0.3664972923012384,-0.258758288348514,7.709156153686094,0.4990270651346774,0.3072721828181491,21.81124104249799,16.009389760485078,-0.3378888516138844,0.0176934132759779,0.1086336133512398,0.0631635133136088,475.9391804129995,-0.389023646284667,-0.2501244254359137,7.862815383331929,0.9957172437952098,0.3909813635342857,34.78825970714404,15.97607706438392,-0.408417037629559,0.0963561458159779,0.0784987124832917,0.0874274291496348,0.5280939508274315,3.852355485718152,24.05757089752286,0.3630536875064838,0.0461204288367869,0.0111853039407241,0.3359806240495097,30.21762402281164,17.317276521168196,-0.3803317214621828,0.0476436273943237,0.0328501114665959,0.0402468694304598,0.6154874846206557,0.1840298697727997,30.69742101247077,-0.042845471059233,-0.0028450485202343,0.0089273213785666
NCc1cccc2ccccc12.O=C(O)c1ncccn1,339.3382426208843,-0.3664972923012384,-0.258758288348514,7.709156153686094,0.4990270651346774,0.3072721828181491,21.81124104249799,16.009389760485078,-0.3378888516138844,0.0176934132759779,0.1086336133512398,0.0631635133136088,272.438288169613,-0.3832278535610895,-0.3043261915485976,8.915079286227499,1.3326121224312768,0.3187109812903677,45.07327622961927,13.855020087571631,-0.3744894624634005,0.1609252279494948,0.1230464022325574,0.1419858150910261,0.4498346063652907,10.160237226616392,20.43009472137347,0.3526997629103314,0.0580318103802534,0.0129061266088522,0.320909429549828,29.9738536786654,15.511919556178434,-0.3509889459956798,0.0746227126682188,0.0484128367584114,0.0615177747133151,0.5830227354219086,8.075188537404209,24.12865747028029,0.1582911061735943,0.0646167592931994,0.0126890532933322
NCc1cccc2ccccc12.O=C(O)/C=C/c1ccccc1,339.3382426208843,-0.3664972923012384,-0.258758288348514,7.709156153686094,0.4990270651346774,0.3072721828181491,21.81124104249799,16.009389760485078,-0.3378888516138844,0.0176934132759779,0.1086336133512398,0.0631635133136088,334.3347915702412,-0.4018800110121182,-0.2917717879728259,8.73458012290524,0.984469199462726,0.3221005192136499,42.89435613622648,14.188430458085271,-0.4243522959865441,0.1234820050005821,0.1296268128160052,0.1265544089082937,0.4245768723052961,9.938249806860773,20.49439644890905,0.3555231177488199,0.0431869363660194,0.0127815962236766,0.288177488103441,33.94098101406795,14.653640155477364,-0.3856130313331554,0.0619163931169893,0.0583701609843408,0.0601432770506651,0.4881389976287134,12.84940927103526,22.583974887029264,-0.0711143532676505,0.0512881661804109,0.0672297415375263
NCc1cccc2ccccc12.O=C(O)c1cnccn1,339.3382426208843,-0.3664972923012384,-0.258758288348514,7.709156153686094,0.4990270651346774,0.3072721828181491,21.81124104249799,16.009389760485078,-0.3378888516138844,0.0176934132759779,0.1086336133512398,0.0631635133136088,269.8052179910766,-0.3756351715340343,-0.3100200245992316,8.58690165547496,0.7890856247041032,0.327196617208295,42.57204449907797,14.10700681989596,-0.400084533583623,0.1516287031013571,0.1168834098202126,0.1342560564607849,0.4582575152394303,10.06139908334411,20.81785088936696,0.3541802840423945,0.0548058164589807,0.016480943385428,0.3212996985520536,29.76445598383364,15.481165911571551,-0.3511559681873962,0.070343602924304,0.0471754615653315,0.0587595322448177,0.5917678541429748,6.783348206234889,24.285818558406884,0.0614333119462692,0.0601234102926583,0.036185970792022
NCc1cccc2ccccc12.O=C(O)c1cc2ccccc2s1,339.3382426208843,-0.3664972923012384,-0.258758288348514,7.709156153686094,0.4990270651346774,0.3072721828181491,21.81124104249799,16.009389760485078,-0.3378888516138844,0.0176934132759779,0.1086336133512398,0.0631635133136088,336.5864772483979,-0.3894744099866494,-0.292900935743232,8.32977344539245,0.9793517930907364,0.3279488137246696,43.25618937674706,14.708586434028446,-0.4159116498557531,0.1264672176167114,0.0775944769828331,0.1020308472997722,0.4729938696737118,10.024683735010312,22.340571561758864,0.3560364360640972,0.0447269993568138,0.0043694572001167,0.3394965835903488,27.68071558488176,17.12546278119272,-0.3790657334873105,0.0551848229168348,0.0236630960245416,0.0394239594706882,0.6202275453733469,5.3229633135322505,27.65263383823283,-0.0076313544046807,0.0260731687349351,-0.000802585719954
NCc1cccc2ccccc12.O=C(O)c1cccc(-c2ccccc2)c1,339.3382426208843,-0.3664972923012384,-0.258758288348514,7.709156153686094,0.4990270651346774,0.3072721828181491,21.81124104249799,16.009389760485078,-0.3378888516138844,0.0176934132759779,0.1086336133512398,0.0631635133136088,393.3789143848543,-0.3950480735220413,-0.2756425350151334,8.257510629429472,0.9704811850388816,0.3303420155597421,41.69611148984345,14.760432816700302,-0.418397709153898,0.1158183070820044,0.098587579736599,0.1072029434093017,0.4693742154830018,9.944167013217028,22.227182466761374,0.3544194087617806,0.0437908719170826,0.0092191840461717,0.3300096174341711,27.52730645355647,16.917468761122187,-0.3820006233143364,0.0525103856396234,0.0358540817562819,0.0441822336979527,0.6159375641681509,5.384876822270519,26.82691347526788,-0.0181921647200794,0.0396851575282671,0.0305286328358386
NCc1cccc2ccccc12.O=C(O)C(c1ccccc1)c1ccccc1,339.3382426208843,-0.3664972923012384,-0.258758288348514,7.709156153686094,0.4990270651346774,0.3072721828181491,21.81124104249799,16.009389760485078,-0.3378888516138844,0.0176934132759779,0.1086336133512398,0.0631635133136088,411.26445320376575,-0.3957737610422575,-0.2420737098282628,8.147536886011128,0.577491008948309,0.432820070792496,29.620867356199508,17.326304331222772,-0.4080679024190211,0.0907355117948745,0.0734034351478848,0.0820694734713797,0.5532799083072948,3.6780859423353327,26.444065959023423,0.3658223734712076,0.0430458008932174,0.0084803340217145,0.3263883711093839,31.998776516404657,16.98181415291995,-0.3784729463009348,0.0502505438782266,0.0390598938617966,0.0446552188700116,0.703546635639844,0.0500011698926637,33.488320248659136,-0.050325476798148,-0.0043805358518553,0.0085579983475752
NCc1cccc2ccccc12.Cc1ccc2cc(C(=O)O)ccc2n1,339.3382426208843,-0.3664972923012384,-0.258758288348514,7.709156153686094,0.4990270651346774,0.3072721828181491,21.81124104249799,16.009389760485078,-0.3378888516138844,0.0176934132759779,0.1086336133512398,0.0631635133136088,370.9424959682343,-0.370779161011469,-0.2894224240268647,8.1341115008062,1.0565674317410354,0.3305227587152388,41.63366679542024,14.760511302853043,-0.4185002885954171,0.105482601802992,0.0998918352431109,0.1026872185230514,0.4697495348826065,9.94083555312366,22.062245497111878,0.354497786074202,0.0356801629549448,0.0092682452670513,0.3296341108680999,27.54271063668316,16.44428768950022,-0.3816979640560245,0.0473305681996515,0.039980368242278,0.0436554682209648,0.6132015750679145,5.405614824981285,26.4499135330858,-0.0194766803095288,0.0426443840427693,0.031932396873994
NCc1cccc2ccccc12.CC(C)(C(=O)O)c1ccccc1,339.3382426208843,-0.3664972923012384,-0.258758288348514,7.709156153686094,0.4990270651346774,0.3072721828181491,21.81124104249799,16.009389760485078,-0.3378888516138844,0.0176934132759779,0.1086336133512398,0.0631635133136088,345.1214356449274,-0.3972231823628797,-0.2356005736930845,8.53882656076597,0.7269267417080592,0.386606643454355,36.85459034189441,15.85096127156832,-0.4088365089627227,0.1363187793689374,0.1289399670092612,0.1326293731890993,0.5806373462427371,1.2200284450000196,25.03712512258898,0.3622083478817908,0.0634967277802489,0.0177500723724018,0.4080297240794149,21.209189045648177,19.70801573386333,-0.3780034170130091,0.0580417300541977,0.0437961194656194,0.0509189247599085,0.7172241896044568,0.0,8.348174184643211,1.7835132018276544e-05,0.0050002210430103,0.0241400050723847
NCc1cccc2ccccc12.O=C(O)Cc1ccc2c(c1)OCO2,339.3382426208843,-0.3664972923012384,-0.258758288348514,7.709156153686094,0.4990270651346774,0.3072721828181491,21.81124104249799,16.009389760485078,-0.3378888516138844,0.0176934132759779,0.1086336133512398,0.0631635133136088,348.5435537195091,-0.3768472522494668,-0.2462864966270401,7.986025910290408,0.718568682702056,0.3387076284530918,42.52241329666401,15.38268622111542,-0.403108442084895,0.1352205839565722,0.0868768536683633,0.1110487188124677,0.4772252719386805,6.580327270727801,22.34788891721781,0.3662778959965069,0.0638978315963534,0.0105954335049658,0.3445273725909171,26.16753042927619,17.112562220183055,-0.3732591252189197,0.0632430496668699,0.0321068455185404,0.0476749475927051,0.4924276397644817,7.997773626859098,21.03372515881841,-0.0951227534646287,-0.016899664689815,-0.0027019911094596
NCc1cccc2ccccc12.O=C(O)C1Cc2ccccc2C1,339.3382426208843,-0.3664972923012384,-0.258758288348514,7.709156153686094,0.4990270651346774,0.3072721828181491,21.81124104249799,16.009389760485078,-0.3378888516138844,0.0176934132759779,0.1086336133512398,0.0631635133136088,342.00530484543856,-0.3886930354901611,-0.2385685823069409,8.360562410286592,0.6956558780945705,0.3560409569543165,39.1431746573952,15.329622061780062,-0.4088655021552129,0.1333966513346839,0.0708893419180075,0.1021429966263457,0.487467211178905,5.318860160962947,22.455477516816995,0.3601926026215256,0.0721238683520721,0.0041688435272506,0.3181701448378761,30.641471585933537,15.859384645526164,-0.3801932155274227,0.0691094977678824,0.0341483082420752,0.0516289030049788,0.5897928313857576,0.3494925840717202,29.481048726524943,-0.0420688923849535,-0.0045831287343992,0.0030622453207118
NCc1cccc2ccccc12.O=C(O)c1ccc2nccnc2c1,339.3382426208843,-0.3664972923012384,-0.258758288348514,7.709156153686094,0.4990270651346774,0.3072721828181491,21.81124104249799,16.009389760485078,-0.3378888516138844,0.0176934132759779,0.1086336133512398,0.0631635133136088,334.9509450283374,-0.366635464862476,-0.3136259081811529,8.047993162581935,0.7418278004910763,0.3309623580695551,41.582559638526085,14.471844697269754,-0.4080757538046504,0.0993904765604104,0.0868202190806756,0.093105347820543,0.4695294502242846,9.970232952896623,21.92938447996732,0.356362118908336,0.0293392722768043,0.007351090062584,0.3301133213334941,27.361805535901794,16.432361007389094,-0.3753130780073911,0.0423955831386469,0.0335921249724972,0.0379938540555721,0.6132820352057332,5.451699587576071,26.472930236844363,-0.0128137618602326,0.0450558413308995,0.0359810564695538
NCc1cccc2ccccc12.Cc1ccc(CC(=O)O)cc1,339.3382426208843,-0.3664972923012384,-0.258758288348514,7.709156153686094,0.4990270651346774,0.3072721828181491,21.81124104249799,16.009389760485078,-0.3378888516138844,0.0176934132759779,0.1086336133512398,0.0631635133136088,338.21448945714883,-0.3886654626827198,-0.2392791463741127,8.319194524940944,0.7889186626732301,0.345518123471806,41.37380679369555,15.397636598698345,-0.4078014204304047,0.1370547215681875,0.1104517256663607,0.1237532236172741,0.4754560442832065,6.570369939938364,22.074571524676205,0.3661638359821298,0.0674289634109155,0.0167831509561356,0.3342866301571274,27.892283998629253,16.889875051316494,-0.3772956546387727,0.0663196584270868,0.0459612262917695,0.0561404423594281,0.491208647623919,7.580038151323934,21.47993541847645,-0.092821160345076,-0.0178212855323792,0.0014408064279973
NCc1cccc2ccccc12.COc1ncc(Br)cc1C(=O)O,339.3382426208843,-0.3664972923012384,-0.258758288348514,7.709156153686094,0.4990270651346774,0.3072721828181491,21.81124104249799,16.009389760485078,-0.3378888516138844,0.0176934132759779,0.1086336133512398,0.0631635133136088,349.4256303203656,-0.4052966607180571,-0.3022293463584427,8.701747531191641,1.6540456324379318,0.3394525679732203,40.492762023037486,15.001037917008752,-0.4084240244546149,0.1378512143611429,0.1003845683460142,0.1191178913535785,0.486055447378956,9.986104320769751,22.11067966495421,0.3601331886042046,0.0499962249223473,0.0100828656880293,0.3618664569767764,23.85852566131805,17.568618022394464,-0.3655641692242863,0.0656637770080147,0.0378468697010746,0.0517553233545446,0.6397447763584456,5.468099092795498,26.864874883363058,-0.051274673980408,0.059940119352742,0.0443428426805195
NCc1cccc2ccccc12.Cc1cc(C(=O)O)cc(Cl)n1,339.3382426208843,-0.3664972923012384,-0.258758288348514,7.709156153686094,0.4990270651346774,0.3072721828181491,21.81124104249799,16.009389760485078,-0.3378888516138844,0.0176934132759779,0.1086336133512398,0.0631635133136088,331.7684122995474,-0.3962165482417132,-0.3020704893399156,8.757851573213195,1.0025065895279608,0.3301583246050117,41.82955673890407,14.605610936748102,-0.4000632628655682,0.1488775724800345,0.1120373105905134,0.130457441535274,0.4680431230300649,10.00855018628115,21.85649974997288,0.3580045075530838,0.0546420274909134,0.0149537755900821,0.3300749707134879,27.327373225412146,16.5979594983216,-0.3701617165495169,0.0684076764991836,0.0456407797512146,0.0570242281251991,0.611125052987371,5.446759938890897,26.31693106566647,-0.0002242576067655,0.0660280407244441,0.0348134113720946
NCc1cccc2ccccc12.Cc1ccc(F)cc1C(=O)O,339.3382426208843,-0.3664972923012384,-0.258758288348514,7.709156153686094,0.4990270651346774,0.3072721828181491,21.81124104249799,16.009389760485078,-0.3378888516138844,0.0176934132759779,0.1086336133512398,0.0631635133136088,310.62155927915853,-0.4120491826394559,-0.2853302606501836,9.035519636662938,0.6743281320372743,0.3714303340611333,33.78218069145193,15.204895190146976,-0.4148802915142738,0.153497384627989,0.1195380818434972,0.1365177332357431,0.4995070539066543,9.518360523766038,22.57990196516217,0.3558052958044778,0.0596304123077211,0.0102739248183644,0.3450729336667834,24.821182868737168,16.844060459219754,-0.3796675006855859,0.0689984902264322,0.0512733922624619,0.060135941244447,0.6541169594993466,5.342005781521627,27.047145010672327,-0.0261919502173683,0.0576993218005389,0.0379511691217766
NCc1cccc2ccccc12.O=C(O)Cc1cc(F)cc(F)c1,339.3382426208843,-0.3664972923012384,-0.258758288348514,7.709156153686094,0.4990270651346774,0.3072721828181491,21.81124104249799,16.009389760485078,-0.3378888516138844,0.0176934132759779,0.1086336133512398,0.0631635133136088,333.2666922999163,-0.4233477255741678,-0.2556844116175391,9.329513178597434,1.5818452335417337,0.3774692508377406,37.92854949388612,16.466403640656786,-0.3960258305429582,0.1078706178669227,0.1180682351109201,0.1129694264889214,0.4662749254609428,7.040164490067848,22.461373020240146,0.3666190535304637,0.0595373764237973,0.0173985874198922,0.2908620247889609,33.35372444760111,14.630660325774908,-0.3756867769090126,0.0656884683837501,0.0638081131625254,0.0647482907731378,0.4943626537401332,5.025117410689023,23.45232093532327,-0.0969061196839209,-0.0199228896821781,0.0026075596185733
Cc1ccccc1N.O=C(O)c1ccc2c(c1)OC(F)(F)O2,277.06152507048785,-0.351613929661354,-0.2055771435838475,7.734352510270423,0.8319642472019678,0.3366741986582184,18.8797997835148,18.363408479623523,-0.2841312001437286,0.0336746682400049,0.1158308335444516,0.0747527508922283,340.94158122196865,-0.4400067982799953,-0.3048881480478039,9.816214478984284,1.4766430624525422,0.3313442292191514,41.57183527201087,14.455648287661576,-0.3981174583582891,0.1524807266794278,0.1544952213117461,0.1534879739955869,0.4695817923961111,9.984456846670309,21.748524123724398,0.3591672053620314,0.0569340422300633,0.0133754498557001,0.3308492622836829,27.180854790789287,16.289331713823586,-0.3702369979446698,0.0697416588639663,0.0634151601429906,0.0665784095034785,0.6133647701322036,5.418254344146371,25.944319364054863,-0.0155441358276721,0.0627785404357291,0.0574608347523236
Cc1ccccc1N.O=C(O)C1c2ccccc2Oc2ccccc21,277.06152507048785,-0.351613929661354,-0.2055771435838475,7.734352510270423,0.8319642472019678,0.3366741986582184,18.8797997835148,18.363408479623523,-0.2841312001437286,0.0336746682400049,0.1158308335444516,0.0747527508922283,402.9146254206901,-0.3747340076590292,-0.2501801199667319,7.668048902283618,0.8054778678946383,0.3997248812556659,38.046722165768685,18.22517860066736,-0.4027337564567494,0.1001373872259236,0.0613563574123721,0.0807468723191479,0.5589449357703697,2.081316902004057,27.193843778579115,0.3649961865908717,0.0406411039097997,0.0089961557960135,0.375872532344901,23.780253270521744,18.74585395572777,-0.3750812829785662,0.0481481696289245,0.0270641312106477,0.0376061504197861,0.6847491113655686,0.5905212811592184,31.593800813299435,-0.0365148053570134,-0.0035855167866084,-0.0007365614909641
Cc1ccccc1N.O=C(O)Cc1ccc2c(c1)OCO2,277.06152507048785,-0.351613929661354,-0.2055771435838475,7.734352510270423,0.8319642472019678,0.3366741986582184,18.8797997835148,18.363408479623523,-0.2841312001437286,0.0336746682400049,0.1158308335444516,0.0747527508922283,348.5435537195091,-0.3768472522494668,-0.2462864966270401,7.986025910290408,0.718568682702056,0.3387076284530918,42.52241329666401,15.38268622111542,-0.403108442084895,0.1352205839565722,0.0868768536683633,0.1110487188124677,0.4772252719386805,6.580327270727801,22.34788891721781,0.3662778959965069,0.0638978315963534,0.0105954335049658,0.3445273725909171,26.16753042927619,17.112562220183055,-0.3732591252189197,0.0632430496668699,0.0321068455185404,0.0476749475927051,0.4924276397644817,7.997773626859098,21.03372515881841,-0.0951227534646287,-0.016899664689815,-0.0027019911094596
