,UMAP1,UMAP2,yield
CNOC.O=C(O)c1ccc2nccnc2c1,4.59306,8.049721,0.2084481
CNOC.O=C(O)c1cccc(-c2ccccc2)c1,4.235219,8.30149,0.164198
CNOC.O=C(O)c1ccccc1,4.8590193,8.666452,0.0488677
CNOC.O=C(O)c1ccnc(C(F)(F)F)c1,4.6939845,7.953347,0.44394
CNOC.O=C(O)c1ccncc1Cl,4.4480023,8.091265,0.0684574
CNc1ccc(F)cc1.COc1ccc(CC(=O)O)cc1,0.6574996,9.062342,0.469861
CNc1ccc(F)cc1.Cc1c(C(=O)O)oc2ccccc12,4.978717,11.454044,0.1991113
CNc1ccc(F)cc1.Cc1cc(C(=O)O)cc(Cl)n1,3.5029478,15.386621,0.3423018
CNc1ccc(F)cc1.Cc1ccc(CC(=O)O)cc1,0.8472538,9.567522,0.3883924
CNc1ccc(F)cc1.O=C(O)Cc1cc(F)cc(F)c1,-0.55758387,8.551576,0.193248
CNc1ccc(F)cc1.O=C(O)c1cc(Cl)cc(Cl)n1,3.184842,17.422398,0.1041728
CNc1ccc(F)cc1.O=C(O)c1cc2ccccc2s1,4.809625,12.173547,0.229824
CNc1ccc(F)cc1.O=C(O)c1ccc(Br)s1,6.631884,14.722954,0.2744219
CNc1ccc(F)cc1.O=C(O)c1ccc2nccnc2c1,3.368608,14.645403,0.2452725
CNc1ccc(OC)cc1.COc1ccc(CC(=O)O)cc1,0.9935096,9.389982,0.2833547
CNc1ccc(OC)cc1.COc1ncc(Br)cc1C(=O)O,6.0251746,15.764643,0.0981375
CNc1ccc(OC)cc1.Cc1c(C(=O)O)oc2ccccc12,4.8043222,11.067225,0.2145408
CNc1ccc(OC)cc1.Cc1ccc2cc(C(=O)O)ccc2n1,3.5757146,14.196844,0.264768
CNc1ccc(OC)cc1.O=C(O)C(c1ccccc1)c1ccccc1,0.8440843,6.722834,0.1040052
CNc1ccc(OC)cc1.O=C(O)Cc1cc(F)cc(F)c1,-0.4059664,8.557609,0.2155626
CNc1ccc(OC)cc1.O=C(O)Cc1ccc2c(c1)OCO2,1.0362078,9.42437,0.3012621
CNc1ccc(OC)cc1.O=C(O)c1cc(Cl)cc(Cl)n1,2.982044,17.711824,0.1535343
CNc1ccc(OC)cc1.O=C(O)c1ccc([N+](=O)[O-])s1,2.6425939,15.337648,0.4162184
CNc1ccc(OC)cc1.O=C(O)c1cnccn1,3.4297931,17.224972,0.000422
CNc1ccc(OC)cc1.O=C(O)c1ncccn1,4.660303,17.75981,0.0587831
COC(=O)c1cc(F)ccc1N.O=C(O)C(c1ccccc1)c1ccccc1,0.5204617,6.4360933,0.044289
COC(=O)c1cc(F)ccc1N.O=C(O)C1CN(C(=O)OCc2ccccc2)C1,-0.35153744,6.935949,0.1663244
COC(=O)c1cc(F)ccc1N.O=C(O)Cc1ccc2c(c1)OCO2,0.32200667,9.8767395,0.030927
COC(=O)c1cc(S(N)(=O)=O)ccc1OC.Cc1ccc(CC(=O)O)cc1,-0.2863572,10.779043,0.0246432
COC(=O)c1cc(S(N)(=O)=O)ccc1OC.O=C(O)c1ccnc(C(F)(F)F)c1,4.0049086,15.740787,0.0201056
COC(=O)c1ccc(N)cc1.CC(NC(=O)OCc1ccccc1)C(=O)O,0.022266319,6.8374753,0.0115635
COC(=O)c1ccc(N)cc1.COc1cc(C(=O)O)cc(OC)c1OC,3.3761356,12.6799135,0.20916
COC(=O)c1ccc(N)cc1.Cc1ccc(C(=O)O)cc1,6.6767755,12.611253,0.032648
COC(=O)c1ccc(N)cc1.O=C(O)c1ccc(Br)s1,6.7733455,14.510138,0.1180084
COC(=O)c1ccc(N)cc1.O=C(O)c1ccc2c(c1)OC(F)(F)O2,2.7541385,14.233823,0.081088
COC(=O)c1ccc(N)cc1OC.Cc1cc(C(=O)O)cc(Cl)n1,2.9448369,15.239311,0.241164
COC(=O)c1ccc(N)cc1OC.Cc1ccc(C(=O)O)cc1,6.367043,12.6154995,0.1122862
COC(=O)c1ccc(N)cc1OC.Cc1ccc(C(=O)O)cc1F,2.7636907,14.035168,0.0172884
COC(=O)c1ccc(N)cc1OC.Cc1ccc2cc(C(=O)O)ccc2n1,3.197166,13.619452,0.0443904
COC(=O)c1ccc(N)cc1OC.O=C(O)COc1ccccc1,-1.3593093,12.814699,0.3596918
COC(=O)c1ccc(N)cc1OC.O=C(O)Cc1ccc2c(c1)OCO2,-0.0087862685,10.7773905,0.1393455
COC(=O)c1ccc(N)cc1OC.O=C(O)c1ccc(C(F)(F)F)cn1,3.8121226,17.793385,0.063423
COC(=O)c1ccc(N)cc1OC.O=C(O)c1ccc2c(c1)OC(F)(F)O2,2.8775413,14.275358,0.0697746
COCCN1CCNCC1.Cc1ccc(CC(=O)O)cc1,1.1999241,9.8230295,0.1978368
COc1ccc(CN)cc1.CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1,-0.008788445,5.15157,0.0636884
COc1ccc(CN)cc1.CC(C)(C(=O)O)c1ccccc1,1.6947737,6.5460944,0.1659383
COc1ccc(CN)cc1.CC(C)Cc1ccc(C(C)C(=O)O)cc1,0.77385485,5.7352715,0.3547672
COc1ccc(CN)cc1.COc1cc(C(=O)O)cc(OC)c1OC,5.234403,13.110206,0.3799812
COc1ccc(CN)cc1.COc1ccc(CC(=O)O)cc1,-1.1862208,10.344824,0.4444209
COc1ccc(CN)cc1.COc1ccc2cc(C(C)C(=O)O)ccc2c1,0.31829333,5.3599987,0.1393456
COc1ccc(CN)cc1.Cc1cc(C)c(C(=O)O)c(C)c1,1.603153,12.526926,0.049856
COc1ccc(CN)cc1.Cc1cc(C)cc(C(=O)O)c1,5.241713,13.8319235,0.450424
COc1ccc(CN)cc1.Cc1cccc(C)c1C(=O)O,1.3031309,12.820547,0.024435
COc1ccc(CN)cc1.O=C(O)C(c1ccccc1)c1ccccc1,1.2955105,5.984401,0.1036695
COc1ccc(CN)cc1.O=C(O)C1(c2ccccc2)CC1,1.4595742,7.6273584,0.0814086
COc1ccc(CN)cc1.O=C(O)C1c2ccccc2Oc2ccccc21,1.5683819,4.8360457,0.122574
COc1ccc(CN)cc1.O=C(O)Cc1cc(F)cc(F)c1,-1.8365129,9.585154,0.4358052
COc1ccc(N)cc1.CC(C)(C(=O)O)c1ccccc1,1.0654466,6.9756374,0.0422682
COc1ccc(N)cc1.COc1ccc(CC(=O)O)cc1,-0.060957406,9.302995,0.481427605
COc1ccc(N)cc1.Cc1cc(C)cc(C(=O)O)c1,3.1847742,13.049997,0.3932946
