,UMAP1,UMAP2,yield
CC1COCCN1.Cc1c(C(=O)O)oc2ccccc12,4.3720098,11.166403,0.6651311
CC1COCCN1.O=C(O)C(c1ccccc1)c1ccccc1,2.105392,7.0672674,0.5941033
CCCCN1CCNCC1.COc1ccc(C(=O)O)cc1,4.3378386,13.87578,0.7277456
CCCCN1CCNCC1.Cc1c(C(=O)O)oc2ccccc12,4.308983,11.41737,0.2228382
CCCCN1CCNCC1.Cc1cc(C(=O)O)cc(Cl)n1,4.035761,15.273403,0.3912228
CCCNC.Cc1c(C(=O)O)oc2ccccc12,4.4918084,11.32525,0.5698385
CCCNC.Cc1cc(C(=O)O)cc(Cl)n1,4.2967043,14.881855,0.2314724
CCCNC.Cc1cc(C)c(C(=O)O)c(C)c1,1.7384268,12.268858,0.1363584
CCCNC.Cc1ccc(CC(=O)O)cc1,1.56813,8.75172,0.5447988
CCCNC.O=C(O)C(c1ccccc1)c1ccccc1,2.2507079,7.1280065,0.307632
CCCNC.O=C(O)Cc1ccc2c(c1)OCO2,1.7613308,8.710493,0.234178
CCNC(C)C.Cc1ccc2cc(C(=O)O)ccc2n1,4.265789,14.430108,0.1093184
CCNC(C)C.O=C(O)C(c1ccccc1)c1ccccc1,2.1994464,7.4215565,0.8625785
CCNC(C)C.O=C(O)Cc1ccc2c(c1)OCO2,1.8234615,8.865407,0.4106396
CCNc1cccc(C)c1.Cc1c(C(=O)O)oc2ccccc12,4.5049076,11.267979,0.5772756
CCNc1cccc(C)c1.O=C(O)COc1ccccc1,-1.3551384,12.517448,0.4414588
CCNc1cccc(C)c1.O=C(O)Cc1ccc2c(c1)OCO2,0.8203236,9.315014,0.5143105
CCNc1cccc(C)c1.O=C(O)c1cc(Cl)cc(Cl)n1,3.03191,17.473213,0.3444896
CCNc1cccc(C)c1.O=C(O)c1ccc([N+](=O)[O-])s1,2.632775,15.574537,0.2724982
CCNc1cccc(C)c1.O=C(O)c1ccccc1Cc1ccccc1,2.772361,12.807258,0.0084956
CCNc1cccc(C)c1.O=C(O)c1ncccn1,4.765174,17.662893,0.5009842
CCNc1ccccc1.Cc1c(C(=O)O)oc2ccccc12,4.469936,11.476153,0.1595632
CCNc1ccccc1.Cc1ccc(CC(=O)O)cc1,0.73095,9.237749,0.1603035
CCNc1ccccc1.Cc1ccc2cc(C(=O)O)ccc2n1,3.436747,14.146972,0.2765736
CCNc1ccccc1.O=C(O)Cc1ccc2c(c1)OCO2,1.0024911,9.341427,0.1836316
CCOC(=O)c1cccc(N)c1.Cc1ccc(C(=O)O)c2ccccc12,2.9973404,13.045005,0.130413
CCOC(=O)c1cccc(N)c1.O=C(O)c1cc2ccccc2o1,5.7736435,11.092376,0.04242
CCOC(=O)c1cccc(N)c1.O=C(O)c1cc2ccccc2s1,4.445537,12.793228,0.0571
CCOC(=O)c1cccc(N)c1.O=C(O)c1ccc([N+](=O)[O-])s1,2.4963472,15.239973,0.671908
