Reaction #,Prod_Smiles,ArX_Smiles,Acid_Smiles,CAD Yield
2758,Cn1nc(C(=O)N2CCC(c3cc(N)ncn3)CC2)c2c1CCN(C(=O)C1CC1)C2,Nc1cc(Br)ncn1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,44.1
2759,Cn1nc(C(=O)N2CCC(c3ccc(F)cn3)CC2)c2c1CCN(C(=O)C1CC1)C2,Fc1ccc(Br)nc1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,63.4
2760,Cn1nc(C(=O)N2CCC(c3cc(O)ccn3)CC2)c2c1CCN(C(=O)C1CC1)C2,Oc1ccnc(Br)c1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,0.3
2761,Cn1nc(C(=O)N2CCC(c3ccc(O)nc3)CC2)c2c1CCN(C(=O)C1CC1)C2,Oc1ccc(Br)cn1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,22.5
2762,Cn1nc(C(=O)N2CCC(c3cccc(O)n3)CC2)c2c1CCN(C(=O)C1CC1)C2,Oc1cccc(Br)n1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,18.8
2763,Cn1nc(C(=O)N2CCC(c3ncccc3C#N)CC2)c2c1CCN(C(=O)C1CC1)C2,N#Cc1cccnc1Br,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,9.6
2764,Cn1nc(C(=O)N2CCC(c3ncccc3C(N)=O)CC2)c2c1CCN(C(=O)C1CC1)C2,NC(=O)c1cccnc1Br,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,25.9
2765,Cn1nc(C(=O)N2CCC(c3ccc4ncccc4n3)CC2)c2c1CCN(C(=O)C1CC1)C2,Brc1ccc2ncccc2n1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,14.2
2766,Cn1nc(C(=O)N2CCC(c3ccc4cccnc4n3)CC2)c2c1CCN(C(=O)C1CC1)C2,Brc1ccc2cccnc2n1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,58.4
2767,Cn1nc(C(=O)N2CCC(c3cccc(C(C)(C)C)c3)CC2)c2c1CCN(C(=O)C1CC1)C2,CC(C)(C)c1cccc(Br)c1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,67.2
2768,Cc1cccnc1C1CCN(C(=O)c2nn(C)c3c2CN(C(=O)C2CC2)CC3)CC1,Cc1cccnc1Br,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,13.2
2769,Cn1nc(C(=O)N2CCC(c3ccc4nccc(O)c4c3)CC2)c2c1CCN(C(=O)C1CC1)C2,Oc1ccnc2ccc(Br)cc12,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,20.3
2770,CCOC(=O)c1c(-c2ccc(C3CCN(C(=O)c4nn(C)c5c4CN(C(=O)C4CC4)CC5)CC3)cc2)csc1N,CCOC(=O)c1c(-c2ccc(Br)cc2)csc1N,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,0.0
2771,Cn1nc(C(=O)N2CCC(c3ccc(C(=O)N4CCOCC4)cc3)CC2)c2c1CCN(C(=O)C1CC1)C2,O=C(c1ccc(Br)cc1)N1CCOCC1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,68.5
2772,Cn1nc(C(=O)N2CCC(c3ccc4nn[nH]c4c3)CC2)c2c1CCN(C(=O)C1CC1)C2,Brc1ccc2nn[nH]c2c1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,0.0
2773,Cn1nc(C(=O)N2CCC(c3cnn(C)c3C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,Cn1ncc(Br)c1C(=O)O,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,0.0
2774,Cn1nc(C(=O)N2CCC(c3cccc(C(=O)C(F)(F)F)c3)CC2)c2c1CCN(C(=O)C1CC1)C2,O=C(c1cccc(Br)c1)C(F)(F)F,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,0.0
2775,Cn1nc(C(=O)N2CCC(c3ccc(S(=O)(=O)CCO)cc3)CC2)c2c1CCN(C(=O)C1CC1)C2,O=S(=O)(CCO)c1ccc(Br)cc1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,47.7
2776,Cc1ccc(C2CCN(C(=O)c3nn(C)c4c3CN(C(=O)C3CC3)CC4)CC2)cn1,Cc1ccc(Br)cn1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,77.6
2777,Cn1nc(C(=O)N2CCC(c3cncc(S(=O)(=O)O)c3)CC2)c2c1CCN(C(=O)C1CC1)C2,O=S(=O)(O)c1cncc(Br)c1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,0.0
2778,Cn1nc(C(=O)N2CCC(c3ccc(OC(C)(C)C)cc3)CC2)c2c1CCN(C(=O)C1CC1)C2,CC(C)(C)Oc1ccc(Br)cc1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,22.0
2779,Cn1nc(C(=O)N2CCC(c3ccc(CN4CCOCC4)cc3)CC2)c2c1CCN(C(=O)C1CC1)C2,Brc1ccc(CN2CCOCC2)cc1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,0.0
2780,CNC(=O)c1cccc(C2CCN(C(=O)c3nn(C)c4c3CN(C(=O)C3CC3)CC4)CC2)c1,CNC(=O)c1cccc(Br)c1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,69.6
2781,Cn1nc(C(=O)N2CCC(c3cccc(-c4nnn[nH]4)c3)CC2)c2c1CCN(C(=O)C1CC1)C2,Brc1cccc(-c2nnn[nH]2)c1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,7.5
2782,Cc1[nH]c(=O)c(C#N)c(C)c1C1CCN(C(=O)c2nn(C)c3c2CN(C(=O)C2CC2)CC3)CC1,Cc1[nH]c(=O)c(C#N)c(C)c1Br,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,0.0
