Reaction #,Prod_Smiles,ArX_Smiles,Acid_Smiles,CAD Yield
435,COC(=O)CC1CCc2cc(CC(C)c3ccc(Cl)cc3)cc3[nH]c(=O)c(=O)n1c23,COC(=O)CC1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23,CC(CC(=O)O)c1ccc(Cl)cc1,7.1
437,COC(=O)CC1CCc2cc(CNC(=O)Cc3ccccc3)cc3[nH]c(=O)c(=O)n1c23,COC(=O)CC1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23,O=C(O)CNC(=O)Cc1ccccc1,26.9
438,COC(=O)CC1CCc2cc(COc3ccc(C(C)(C)C)cc3)cc3[nH]c(=O)c(=O)n1c23,COC(=O)CC1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23,CC(C)(C)c1ccc(OCC(=O)O)cc1,38.8
439,COC(=O)CC1CCc2cc(C3CCCO3)cc3[nH]c(=O)c(=O)n1c23,COC(=O)CC1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23,O=C(O)C1CCCO1,16.4
440,COC(=O)CC1CCc2cc(CSc3nc4ccccc4[nH]3)cc3[nH]c(=O)c(=O)n1c23,COC(=O)CC1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23,O=C(O)CSc1nc2ccccc2[nH]1,0.0
441,COC(=O)CC1CCc2cc(CCCSc3nc4ccccc4s3)cc3[nH]c(=O)c(=O)n1c23,COC(=O)CC1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23,O=C(O)CCCSc1nc2ccccc2s1,0.0
442,COC(=O)CC1CCc2cc(CCN3C(=O)c4ccccc4C3=O)cc3[nH]c(=O)c(=O)n1c23,COC(=O)CC1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23,O=C(O)CCN1C(=O)c2ccccc2C1=O,2.5
443,COC(=O)CC1CCc2cc(C3CCOCC3)cc3[nH]c(=O)c(=O)n1c23,COC(=O)CC1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23,O=C(O)C1CCOCC1,71.0
444,COC(=O)CC1CCc2cc(CN(C)S(=O)(=O)c3ccccc3)cc3[nH]c(=O)c(=O)n1c23,COC(=O)CC1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23,CN(CC(=O)O)S(=O)(=O)c1ccccc1,1.7
445,COC(=O)CC1CCc2cc(CSc3ccc(C)cc3)cc3[nH]c(=O)c(=O)n1c23,COC(=O)CC1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23,Cc1ccc(SCC(=O)O)cc1,0.1
